Gene	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
NM_001179591.1	996	962	881	1227	1225	1341	1336	1308	1286	1690	1451	1646
NM_001179592.3	3	3	8	8	7	8	7	12	8	6	8	11
NM_001179593.1	430	478	420	506	484	487	533	581	618	545	600	568
NM_001179594.3	527	485	525	555	549	664	539	510	508	610	580	601
NM_001179595.1	3317	2671	2776	2458	2658	2824	2883	2710	2976	2546	2373	2382
NM_001179598.3	1562	1546	1362	1330	1307	1278	1104	1250	1327	1206	1014	1176
NM_001179599.1	292	244	264	326	282	324	320	314	345	413	365	334
NM_001179600.1	521	502	570	486	505	490	542	604	518	482	558	516
NM_001179601.3	5347	5523	4760	5181	5232	4549	4898	4982	4985	5314	4983	5235
NM_001179603.1	0	1	0	1	0	0	2	0	0	0	0	1
NM_001179604.3	261	323	301	291	287	257	251	300	224	270	241	271
NM_001179605.1	1907	1844	1908	1809	1778	1824	1969	1921	1818	1665	1764	1657
NM_001179606.3	895	878	889	1116	1115	1016	1135	1069	1139	1365	1382	1252
NM_001179607.1	399	377	432	459	425	394	370	375	359	446	417	357
NM_001179608.3	331	346	361	283	295	323	320	288	291	317	284	287
NM_001179609.1	341	348	319	218	234	286	197	250	196	183	155	155
NM_001179611.1	501	526	488	444	476	407	459	479	500	449	454	458
NM_001179612.1	1580	1478	1654	1537	1546	1689	1738	1821	1733	1723	1809	1728
NM_001179613.1	432	458	490	570	558	558	638	580	596	661	673	670
NM_001179614.1	176	150	158	174	149	147	167	145	171	168	171	151
NM_001179615.1	304	297	300	268	261	270	238	245	251	228	238	224
NM_001179616.1	0	4	3	7	6	7	3	6	4	7	4	3
NM_001179617.1	361	375	364	380	391	442	528	554	590	515	507	450
NM_001179618.1	218	227	221	262	272	324	241	217	221	342	351	335
NM_001179620.1	10454	10424	9170	9574	9564	9417	7474	8188	8158	8280	7166	8041
NM_001179621.2	55	78	71	74	88	84	102	92	88	100	87	94
NM_001179622.1	30976	27254	28030	22084	23691	23429	22960	23030	26297	19108	20237	19217
NM_001179623.1	1389	1401	1549	1304	1261	1258	1584	1504	1474	1223	1239	1307
NM_001179624.1	396	422	530	435	418	419	398	394	358	369	412	364
NM_001179625.1	375	405	411	416	376	430	353	370	372	326	374	339
NM_001179626.1	212098	192643	199935	161429	170445	179626	172646	176488	186519	138060	137563	135152
NM_001179627.1	87	84	113	73	74	79	107	84	68	99	88	80
NM_001179628.1	438	497	380	734	818	770	776	862	867	1415	1260	1309
NM_001179629.1	486	495	501	452	480	424	388	401	420	444	410	415
NM_001179630.1	728	647	680	609	568	581	569	581	626	591	538	563
NM_001179631.2	872	930	928	709	694	715	694	724	732	644	610	644
NM_001179633.1	1764	1714	1749	1715	1751	1785	1451	1456	1520	1572	1622	1525
NM_001179634.1	1762	1765	1530	1543	1382	1463	1328	1406	1421	1271	1223	1220
NM_001179635.1	453	382	452	355	352	369	433	386	444	377	369	343
NM_001179636.1	0	0	0	0	0	0	4	0	1	0	4	1
NM_001179637.1	27	10	56	10	11	23	29	22	19	70	48	35
NM_001179638.1	246	270	290	310	286	311	361	331	336	357	381	346
NM_001179639.1	1740	1777	1625	1601	1560	1396	1244	1289	1267	1185	1176	1200
NM_001179640.1	447	425	372	530	582	478	390	393	381	501	447	498
NM_001179641.1	225	234	232	257	201	232	236	246	231	240	199	233
NM_001179643.1	2672	2583	2770	2733	2929	2945	2878	2854	2695	2995	3129	3003
NM_001179644.1	518	534	580	528	538	611	582	581	548	551	587	565
NM_001179645.1	356	361	412	416	412	432	393	333	363	423	388	403
NM_001179646.1	4805	4804	4905	4706	5054	4755	5013	4886	5105	4764	4595	4731
NM_001179647.1	38614	35792	34181	34208	35451	34872	34250	33522	38072	32733	32373	33780
NM_001179648.1	1335	1401	1259	1161	971	1084	678	703	777	793	820	798
NM_001179650.1	403	319	399	245	322	306	368	355	362	285	313	289
NM_001179651.1	1861	1831	1618	1690	1805	1869	1642	1642	1964	1970	1881	1888
NM_001179652.1	42	51	32	57	48	58	38	39	49	59	54	60
NM_001179653.1	331	299	304	317	324	364	341	296	355	369	382	336
NM_001179654.1	602	646	535	655	611	639	548	491	511	611	620	613
NM_001179655.1	271	291	224	242	235	237	187	223	221	204	219	208
NM_001179656.1	133	146	119	112	107	116	91	101	88	107	71	83
NM_001179657.1	224	248	216	297	275	291	337	313	291	413	414	401
NM_001179658.1	386	425	415	403	394	407	398	449	377	341	355	363
NM_001179659.1	19	25	23	11	6	8	12	10	6	12	14	16
NM_001179660.1	695	774	812	827	837	824	1009	919	1001	1073	1089	988
NM_001179661.1	138	155	172	144	133	118	99	115	110	132	98	111
NM_001179662.1	2498	2695	2412	4116	4555	4187	5091	5338	5211	6199	6516	6811
NM_001179664.1	97	109	106	128	129	126	147	100	129	146	153	154
NM_001179665.1	766	742	741	729	755	661	625	598	718	616	547	498
NM_001179666.1	1026	959	1072	1226	1222	1358	1476	1519	1370	1631	1718	1755
NM_001179667.2	1271	1264	1353	1191	1111	1213	1048	1047	1084	1059	954	974
NM_001179669.1	1009	942	1151	1440	1466	1498	1874	1877	1815	2363	2359	2140
NM_001179670.1	3359	3354	4092	3057	3228	3493	3978	3621	3720	3593	3768	3696
NM_001179671.1	482	462	364	373	300	377	296	268	310	306	287	276
NM_001179672.1	650	632	607	708	689	651	690	629	652	688	627	617
NM_001179673.1	13	4	3	10	11	15	6	5	7	12	16	5
NM_001179674.1	216	199	172	159	165	151	152	143	150	152	160	147
NM_001179675.1	233	312	251	280	279	243	219	275	262	314	306	283
NM_001179676.1	638	557	626	466	482	490	665	639	756	507	541	465
NM_001179678.1	1322	1435	1137	1162	1056	1008	961	1162	1093	1126	1174	1063
NM_001179679.1	658	624	721	606	608	651	609	652	665	709	681	679
NM_001179680.1	712	761	795	952	879	884	842	886	781	992	1005	999
NM_001179682.1	348	372	290	288	268	280	273	283	271	231	228	245
NM_001179683.1	5971	5878	6291	7589	7664	7369	6647	6375	6373	7865	8013	7394
NM_001179685.1	317	393	330	291	295	263	295	254	258	201	211	191
NM_001179686.1	1584	1468	1432	1037	955	1053	1251	1268	1343	1168	1088	1215
NM_001179687.1	136	108	127	109	136	136	134	167	150	147	139	152
NM_001179688.1	919	848	861	579	577	574	590	606	610	529	495	489
NM_001179690.1	133	141	177	170	178	147	174	156	203	199	214	236
NM_001179691.1	609	566	570	597	625	584	601	549	624	522	590	551
NM_001179692.1	1651	1751	1683	2215	2216	2298	2644	2583	2408	3031	3095	3044
NM_001179693.1	3396	3411	3217	3536	3588	3319	3407	3549	3618	3479	3528	3429
NM_001179694.1	982	894	908	1010	975	983	1052	1044	1057	1082	1000	991
NM_001179695.2	760	818	928	733	716	700	782	756	678	672	611	651
NM_001179696.1	484	495	485	551	549	569	647	616	690	691	730	743
NM_001179698.1	10	14	10	14	21	25	25	18	14	17	18	32
NM_001179699.2	24	38	24	40	29	55	37	45	49	49	45	35
NM_001179700.2	287	346	275	344	297	281	336	329	330	328	338	385
NM_001179701.1	715	737	808	875	870	906	949	961	899	1071	982	1038
NM_001179703.1	288	316	346	323	300	371	314	297	242	314	331	324
NM_001179704.1	297	335	340	342	346	295	325	344	306	272	272	237
NM_001179705.1	320	341	357	325	320	296	316	311	287	290	302	262
NM_001179706.1	487	513	567	375	411	386	452	397	394	398	331	377
NM_001179707.1	954	1022	1014	1105	1208	1104	1127	1201	1155	1442	1316	1357
NM_001179708.1	1514	1446	1420	2196	2059	2071	1941	1956	1833	2588	2694	2526
NM_001179709.1	1207	1275	1309	1109	1021	1048	985	951	983	1160	1171	1066
NM_001179710.1	364	449	531	427	452	447	483	437	468	504	480	475
NM_001179711.1	4405	4314	4090	6763	6027	6882	6054	6021	5985	8003	8062	7765
NM_001179712.1	882	841	783	924	933	940	761	829	853	897	902	890
NM_001179714.1	504	517	522	485	533	530	544	612	665	630	608	681
NM_001179715.1	196	161	176	194	195	225	225	254	230	237	255	229
NM_001179716.1	602	575	599	883	966	861	1036	1097	1059	1459	1513	1539
NM_001179717.1	263	294	340	296	284	286	433	411	452	437	462	459
NM_001179718.1	98905	89660	92126	88104	89649	87032	82058	80458	85336	69919	70515	67678
NM_001179720.1	501	451	517	427	429	434	404	425	402	379	364	390
NM_001179721.1	300	254	271	318	348	333	275	276	271	314	310	317
NM_001179722.1	6714	5918	5821	5015	5750	5372	5132	5665	5910	5191	5197	5038
NM_001179723.2	4368	4380	4340	2857	3050	2975	3400	3141	3404	2267	2359	2263
NM_001179725.1	115	158	138	126	137	147	120	123	132	161	124	114
NM_001179726.1	781	687	739	879	863	819	748	730	709	809	782	710
NM_001179727.1	10	3	10	44	52	33	85	64	65	136	157	124
NM_001179728.1	55	64	64	58	64	88	77	73	82	77	73	77
NM_001179729.1	2050	2006	1763	1536	1328	1675	1478	1480	1684	1421	1450	1598
NM_001179730.1	15396	15638	13080	12816	12209	13082	11968	12046	13027	10409	9504	10440
NM_001179731.1	1272	1489	1375	1319	1248	1215	1481	1432	1373	1181	1210	1247
NM_001179732.1	514	508	591	580	527	540	604	559	525	594	548	526
NM_001179733.1	319	303	308	355	395	356	329	327	354	418	375	375
NM_001179734.1	241	222	250	255	258	293	228	198	238	270	231	234
NM_001179736.1	360	317	335	303	280	356	277	323	303	279	292	245
NM_001179737.1	107	105	132	140	123	98	150	131	143	146	165	164
NM_001179738.1	2895	2984	2860	2747	2828	2493	2085	1984	2177	2332	2225	2056
NM_001179739.1	602	669	618	645	638	622	674	656	695	637	613	642
NM_001179740.1	529	556	604	557	516	581	666	603	558	577	600	604
NM_001179741.1	1282	1163	1222	1193	1263	1415	1307	1372	1414	1361	1491	1457
NM_001179742.1	231	185	219	187	208	195	218	196	205	213	188	202
NM_001179744.1	32	43	39	23	23	41	58	47	56	43	57	49
NM_001179745.1	688	737	647	723	674	609	543	635	540	608	651	661
NM_001179746.1	34674	33971	31263	30908	31646	29652	27984	28961	29917	27829	27268	25956
NM_001179747.1	3518	3238	3671	3204	3297	3420	3291	3287	3486	3139	3113	3072
NM_001179748.1	42384	40867	40152	36600	34070	38620	44385	42612	48233	37027	35288	37857
NM_001179749.1	365	365	340	379	445	432	391	440	404	470	450	426
NM_001179750.1	2319	2310	2188	2638	2596	2523	2597	2402	2428	2659	2635	2712
NM_001179751.1	1294	1284	1118	1233	1207	1253	1356	1429	1345	1238	1092	1237
NM_001179752.1	513	462	501	609	650	584	569	624	611	794	794	746
NM_001179753.1	22	8	10	12	7	5	19	17	17	39	32	25
NM_001179754.1	12	20	29	26	21	23	26	25	18	23	12	24
NM_001179755.1	202	176	211	213	266	223	243	214	252	306	299	293
NM_001179756.1	724	646	755	798	796	785	727	690	688	769	731	717
NM_001179757.1	1196	1099	1072	1213	1255	1329	1266	1320	1405	1432	1392	1321
NM_001179758.1	2611	2338	2230	2460	2720	2447	2538	2504	2663	2615	2550	2390
NM_001179759.1	472	527	501	509	536	513	533	464	508	547	514	484
NM_001179760.1	164	165	177	145	156	189	153	182	184	190	192	183
NM_001179761.1	1052	1111	1201	1159	1092	1379	999	1088	1165	1353	1388	1387
NM_001179762.1	1710	1786	1752	2102	2030	1975	1827	1726	1684	1861	1777	1666
NM_001179763.1	371	343	396	425	376	389	399	441	416	349	404	413
NM_001179764.2	236	215	216	169	170	195	170	188	226	156	140	167
NM_001179766.1	94	129	108	109	94	129	111	114	121	100	126	101
NM_001179768.1	751	735	778	757	741	765	803	781	736	837	740	891
NM_001179769.1	1543	1588	1423	1589	1540	1546	1107	1288	1296	1556	1401	1433
NM_001179770.1	1129	1188	1206	1249	1203	1223	1394	1305	1414	1383	1379	1370
NM_001179771.1	412	388	481	576	555	553	562	549	606	724	717	654
NM_001179772.1	1232	1143	1266	1315	1233	1346	1157	1286	1160	1166	1257	1216
NM_001179773.1	127	118	137	138	154	119	143	117	111	129	162	151
NM_001179774.1	2392	2530	2713	2458	2323	2515	2371	2480	2119	1586	1547	1875
NM_001179775.1	14096	14137	13811	20131	19568	19893	18770	17968	18279	21938	21844	21338
NM_001179776.1	1709	1736	1686	1560	1651	1672	1984	2032	2027	1713	1763	1836
NM_001179777.1	4471	4437	4365	3786	3977	3799	4099	3989	4289	3444	3481	3355
NM_001179778.1	1001	1060	1023	1152	1100	1172	1143	1145	1218	1243	1176	1128
NM_001179779.1	569	584	533	572	616	606	560	559	590	600	573	544
NM_001179780.1	1313	1278	1378	1209	1063	1129	1290	1210	1228	1084	1088	1101
NM_001179781.1	8914	7779	7576	4810	5069	4781	4930	4621	5212	3065	2838	2860
NM_001179782.1	11	22	16	16	17	17	18	22	14	22	19	24
NM_001179783.1	136	119	163	145	134	134	145	148	161	126	126	149
NM_001179784.1	270	269	296	302	321	336	320	337	295	318	355	292
NM_001179785.1	175	102	74	115	70	58	42	67	49	19	30	18
NM_001179786.2	1	2	0	6	2	3	3	1	0	4	9	5
NM_001179787.1	38	21	35	17	20	22	27	35	24	43	30	38
NM_001179789.1	0	1	0	1	1	2	2	3	3	3	0	3
NM_001179791.1	5893	5932	5687	5301	4812	4958	5005	4816	5101	5114	5003	5148
NM_001179792.3	633	675	655	704	753	737	748	821	711	808	827	825
NM_001179793.1	706	719	737	545	576	603	683	608	604	502	498	491
NM_001179794.3	91	108	108	70	89	86	92	106	82	110	107	94
NM_001179795.1	13	10	16	5	6	5	6	12	8	8	8	6
NM_001179796.3	598	582	531	672	628	662	529	591	572	631	576	552
NM_001179797.1	173	198	214	191	211	207	190	197	232	260	238	231
NM_001179798.4	1071	1120	1103	1142	1121	1020	1145	1152	1150	1091	1048	983
NM_001179799.1	45	75	72	85	58	78	65	74	71	80	108	85
NM_001179800.3	341	336	312	330	295	318	262	276	324	302	312	306
NM_001179801.1	517	508	499	576	593	455	528	503	459	559	540	556
NM_001179803.3	3199	3310	2704	3104	3370	3033	2560	2620	2873	3991	3762	4071
NM_001179804.1	967	951	1108	852	909	828	911	919	849	814	862	810
NM_001179805.3	0	1	0	0	1	0	0	0	0	1	1	1
NM_001179806.1	523	548	465	362	381	368	360	384	388	334	300	273
NM_001179807.3	70	83	116	88	92	93	90	83	100	79	91	89
NM_001179808.1	1801	1666	1720	2533	2323	2690	2728	2520	2609	3025	3190	3310
NM_001179809.3	183	188	171	178	225	192	177	165	166	229	215	218
NM_001179810.1	183	190	193	207	205	219	174	189	153	217	236	210
NM_001179811.4	260	256	188	258	225	283	253	244	265	285	230	275
NM_001179812.1	139	132	127	133	146	124	93	101	121	110	119	108
NM_001179813.3	317	325	311	323	292	316	264	263	248	285	286	277
NM_001179814.1	843	911	960	927	988	988	893	833	883	960	946	904
NM_001179815.3	838	824	763	937	955	867	806	839	867	869	912	878
NM_001179816.1	944	917	989	822	835	851	758	760	877	712	669	666
NM_001179817.3	253	233	325	299	306	273	302	261	305	287	268	276
NM_001179818.2	921	851	815	931	914	907	935	925	981	892	968	1011
NM_001179819.3	567	578	472	576	510	541	493	491	472	554	565	577
NM_001179820.1	369	382	415	483	491	513	469	464	387	571	601	559
NM_001179821.3	530	488	562	521	556	548	528	564	491	458	428	466
NM_001179824.1	0	1	2	2	2	2	0	0	0	6	1	3
NM_001179826.2	189	184	190	212	220	219	206	188	217	219	190	221
NM_001179827.3	213	171	195	162	172	185	204	198	230	244	220	237
NM_001179828.1	718	715	680	743	781	722	668	682	718	757	834	799
NM_001179829.3	193	141	167	170	176	200	239	244	237	339	320	293
NM_001179831.1	23	19	29	30	31	20	24	30	18	42	44	33
NM_001179832.3	19879	19034	16386	15844	16117	17125	12239	13146	14337	9724	9746	10337
NM_001179833.1	3017	2748	2820	2957	3203	2972	2884	2966	3143	3240	3308	3093
NM_001179834.3	126	125	105	91	109	116	135	110	123	111	109	108
NM_001179835.1	195	191	135	138	131	134	108	105	124	119	105	120
NM_001179836.3	260	189	224	266	289	308	298	338	351	453	461	422
NM_001179838.1	2924	2875	2636	3864	3812	3755	3326	3501	3695	4520	4326	4379
NM_001179839.3	138	110	142	145	153	167	191	171	205	199	198	201
NM_001179840.1	16	11	21	12	13	18	17	23	22	19	29	22
NM_001179841.3	81	92	109	112	112	109	119	93	89	140	146	120
NM_001179842.1	434	426	391	621	611	626	680	682	706	816	750	754
NM_001179843.3	16	14	14	5	14	10	18	6	14	11	12	13
NM_001179844.1	433	406	473	445	396	439	511	481	445	468	430	492
NM_001179845.3	243	230	266	216	200	243	222	231	255	240	226	234
NM_001179846.1	1655	1525	1659	1802	1897	1838	1737	1699	1797	1803	1782	1709
NM_001179847.3	13378	10913	9172	9172	9965	8473	8796	8672	10622	7704	7759	7737
NM_001179848.1	27	26	13	27	28	18	19	39	24	42	24	40
NM_001179849.3	48335	44699	43831	41476	42722	42158	42358	43297	46263	38630	38723	37510
NM_001179850.1	502	523	485	412	485	387	390	351	386	302	316	313
NM_001179851.3	25	42	37	27	35	40	47	39	47	42	35	45
NM_001179852.1	787	818	816	937	834	808	775	699	778	917	849	829
NM_001179853.3	193	210	188	191	202	182	156	188	194	224	204	175
NM_001179854.1	193	164	217	195	219	162	202	209	224	237	214	246
NM_001179855.3	1133	1107	1040	855	882	869	824	947	820	745	679	667
NM_001179856.1	1116	1194	1109	1327	1366	1560	1360	1487	1471	1872	1770	1824
NM_001179857.3	637	646	681	739	732	767	881	900	807	1014	1062	1025
NM_001179858.1	455	466	533	658	528	604	488	508	497	583	563	583
NM_001179859.3	45	43	40	59	43	51	64	62	45	69	68	59
NM_001179860.1	695	721	834	801	819	919	844	878	831	940	925	898
NM_001179861.3	1881	1898	1821	2186	2148	2003	2263	2339	2245	2534	2279	2147
NM_001179862.1	910	983	884	1026	904	1091	747	883	962	973	921	989
NM_001179864.3	894	807	773	680	848	694	763	765	773	649	639	632
NM_001179865.1	113	113	109	133	147	167	152	145	191	167	188	186
NM_001179866.3	97	97	127	137	133	185	230	215	217	347	365	236
NM_001179867.1	379	375	303	362	382	402	373	385	413	466	440	460
NM_001179868.3	170	160	130	158	138	151	142	140	156	177	179	166
NM_001179869.1	468	451	481	476	442	464	519	480	498	468	448	481
NM_001179870.3	1052	968	849	1271	1392	1094	1175	1076	1048	1313	1357	1333
NM_001179871.1	2334	2181	2510	2197	2247	2309	2211	2087	2323	1974	1961	1928
NM_001179872.3	1534	1525	1723	1665	1843	1793	2050	1851	1975	2026	1888	2041
NM_001179873.1	132	138	130	151	180	132	150	95	114	152	140	129
NM_001179874.3	1407	1308	1620	1651	1758	1609	1632	1519	1483	1756	1707	1688
NM_001179875.1	465	482	490	521	501	651	485	530	519	595	592	588
NM_001179876.3	317	286	258	322	367	397	377	355	379	426	425	430
NM_001179877.1	326	342	332	391	381	311	446	386	423	533	476	462
NM_001179878.3	601	644	655	569	638	692	658	652	654	615	614	633
NM_001179879.1	413	460	560	485	517	457	486	524	475	592	546	532
NM_001179880.4	652	681	520	614	558	598	559	571	617	625	578	582
NM_001179881.1	82	83	56	114	87	81	127	93	125	346	293	254
NM_001179882.3	5003	4900	3794	5185	4890	4768	4096	3916	4669	5233	4843	5088
NM_001179883.1	3769	4498	3831	4317	4408	4470	5818	5763	5836	5173	5240	5334
NM_001179884.3	37061	33326	27809	30647	33261	24573	27392	27382	30592	24806	22954	22750
NM_001179885.1	1381	1397	1610	923	799	684	819	1023	795	680	565	687
NM_001179886.1	428	442	417	400	368	368	385	358	354	408	361	419
NM_001179887.3	14	11	27	16	19	17	25	21	32	35	36	34
NM_001179888.1	48	60	63	37	45	56	47	43	40	56	38	36
NM_001179889.3	402	363	396	303	289	324	324	348	361	300	257	275
NM_001179890.1	309	316	300	307	331	333	382	370	336	388	346	379
NM_001179891.3	123	129	148	115	122	124	140	128	124	133	127	115
NM_001179892.1	4	0	2	1	1	3	0	5	6	9	3	1
NM_001179893.3	6	0	6	2	2	8	6	1	3	3	2	5
NM_001179895.3	3	3	3	3	5	7	5	4	4	11	13	5
NM_001179896.1	10	14	10	31	21	43	28	31	32	51	46	45
NM_001179897.1	6	3	3	2	0	2	1	4	8	6	2	5
NM_001179901.1	0	0	0	0	0	0	0	0	0	1	1	3
NM_001179903.1	2	3	2	2	0	3	0	3	0	2	1	4
NM_001179905.1	377	403	354	399	406	369	432	440	409	400	461	440
NM_001179906.1	1	3	2	9	8	3	4	4	6	10	10	7
NM_001179907.1	55	34	18	37	34	25	31	34	43	29	37	35
NM_001179908.1	69	87	82	94	106	136	121	131	132	141	171	158
NM_001179909.1	8	6	18	13	27	20	25	29	31	57	52	49
NM_001179912.1	10	19	24	15	15	18	18	18	17	18	24	20
NM_001179913.1	62	67	61	55	50	58	50	44	49	71	76	75
NM_001179914.1	2	2	0	3	2	7	2	3	7	5	9	1
NM_001179915.1	5	3	6	11	8	3	12	12	13	10	24	11
NM_001179917.1	22	8	8	12	15	8	5	8	18	9	10	7
NM_001179918.1	413	433	377	486	480	469	404	358	402	418	472	402
NM_001179919.1	1758	1828	1554	2045	2092	1968	1767	1867	1783	2083	2030	2098
NM_001179920.1	379	442	543	485	477	525	543	519	596	525	488	603
NM_001179921.1	219	206	250	206	235	171	219	235	214	260	284	234
NM_001179922.1	9375	9048	8565	6830	7002	6149	5827	5964	6131	4482	4604	4795
NM_001179923.1	425	396	501	614	596	608	601	647	688	700	664	716
NM_001179924.1	391	313	354	373	361	454	353	342	373	442	452	408
NM_001179925.1	1396	1364	1182	1605	1654	1791	1340	1524	1395	1607	1704	1765
NM_001179926.1	1	0	0	0	0	0	1	0	1	0	0	1
NM_001179927.1	42302	39445	40248	33768	35581	36413	35945	36128	38364	32532	32754	32587
NM_001179928.1	3715	3381	3541	3543	3733	3816	3669	3759	3860	3872	3771	3663
NM_001179929.1	5691	5191	5671	4623	4704	5091	5222	5051	5475	4930	4994	5193
NM_001179930.1	811	914	845	907	947	1023	1065	1001	1065	1097	1007	966
NM_001179931.1	408	422	419	542	539	492	437	466	401	627	562	557
NM_001179932.2	520	517	432	550	488	517	428	415	398	483	478	450
NM_001179933.1	462	483	369	529	550	666	549	530	547	641	595	616
NM_001179935.1	92	92	93	62	70	68	54	49	50	60	67	57
NM_001179936.1	22	15	19	17	15	20	16	25	26	23	31	30
NM_001179937.1	219	183	250	261	276	262	202	210	248	291	249	234
NM_001179938.1	423	375	433	508	514	541	652	694	665	770	784	737
NM_001179939.1	135	141	155	187	171	195	179	202	180	234	251	253
NM_001179940.2	4095	4415	4391	5143	5269	5442	4487	4444	4622	3683	3886	4352
NM_001179941.1	365	402	383	341	327	305	360	393	358	331	358	348
NM_001179942.1	317	353	370	382	330	328	404	385	355	457	430	414
NM_001179943.1	720	772	702	923	784	854	773	673	743	888	840	887
NM_001179944.2	7083	6819	6815	5585	5612	5664	5875	6258	6916	6215	5498	5886
NM_001179945.1	279	274	275	292	311	339	442	479	418	596	518	566
NM_001179946.1	1	2	8	5	9	7	7	4	6	14	14	8
NM_001179948.1	3472	3592	3799	4353	4300	4149	4398	4599	4636	5138	4804	4786
NM_001179949.1	376	415	444	391	351	437	360	379	394	399	406	399
NM_001179950.1	860	886	1010	1126	1214	1117	1175	1196	1179	1725	1587	1577
NM_001179952.1	150	67	69	275	309	324	312	292	284	1913	2246	1587
NM_001179953.1	673	665	581	753	654	690	513	527	587	549	515	555
NM_001179954.1	2	7	8	6	7	3	4	4	7	4	10	5
NM_001179955.1	3	1	8	5	5	2	7	1	10	11	8	10
NM_001179956.1	3308	3093	3346	2238	2371	2579	1989	2338	2233	2302	2107	2096
NM_001179957.1	897	1015	829	993	863	1021	911	962	979	984	999	972
NM_001179958.1	888	1013	884	928	785	768	728	704	684	766	704	718
NM_001179959.1	2058	2122	2359	2066	2150	2240	2586	2483	2528	2113	2140	2302
NM_001179961.1	1971	2123	2016	2458	2488	2349	2215	2136	2158	2328	2328	2198
NM_001179962.1	4322	4421	4475	3920	3691	3271	3800	3718	3372	3042	3001	2997
NM_001179963.1	17	13	16	9	25	18	26	26	25	17	12	17
NM_001179964.1	632	580	654	587	568	589	600	580	665	634	635	579
NM_001179965.1	412	406	436	406	474	409	443	445	455	496	526	482
NM_001179966.1	749	823	845	634	620	535	465	388	418	388	399	359
NM_001179967.1	1328	1377	1303	1562	1550	1569	1676	1708	1612	1906	1872	1960
NM_001179968.1	380	316	395	440	458	520	416	346	388	484	490	464
NM_001179969.1	1805	1857	2003	2828	2919	2905	2546	2588	2717	3767	3763	3738
NM_001179970.1	437	412	378	452	485	469	503	529	551	481	495	490
NM_001179971.1	1742	2048	1923	2595	2571	2558	2841	2822	2776	3160	3029	3118
NM_001179972.1	148	146	166	180	177	205	183	204	177	227	214	220
NM_001179973.1	125	143	103	151	134	137	127	121	134	153	141	139
NM_001179974.1	3696	3432	3861	4350	4382	4569	4724	4521	4531	5024	4713	5197
NM_001179975.1	2320	2404	2407	3186	3108	3089	2853	2782	2727	3644	3647	3676
NM_001179976.1	333	380	449	549	530	497	606	547	567	674	606	629
NM_001179977.1	6	4	6	5	6	7	6	5	3	12	14	12
NM_001179978.1	620	629	676	582	580	649	521	516	557	547	565	587
NM_001179979.2	272	334	304	387	434	369	378	371	348	519	504	475
NM_001179980.1	147	175	135	171	169	157	124	147	124	238	183	257
NM_001179981.1	965	1118	791	1012	811	869	828	821	839	939	918	1042
NM_001179982.1	45	31	19	44	45	36	29	22	56	75	81	46
NM_001179983.1	308	308	332	288	319	336	341	353	429	367	409	374
NM_001179984.2	547	600	531	558	522	639	572	673	606	627	562	680
NM_001179986.1	359	352	357	388	379	384	395	385	408	544	526	519
NM_001179987.3	37	37	40	30	36	28	40	32	40	33	45	31
NM_001179988.1	8	9	5	5	9	8	12	6	13	15	10	10
NM_001179990.1	330	326	396	348	374	397	431	379	419	440	447	416
NM_001179991.3	1	0	3	2	4	0	5	1	3	3	3	4
NM_001179992.1	93	112	143	128	139	136	129	122	121	157	145	156
NM_001179993.3	770	843	987	774	849	844	857	799	938	816	749	800
NM_001179994.1	200	174	182	173	205	240	224	236	224	309	286	258
NM_001179995.3	544	560	567	487	433	550	579	511	576	503	501	484
NM_001179996.2	250	299	295	295	258	238	329	280	298	320	353	367
NM_001179997.1	4	3	3	15	15	18	3	9	10	12	16	18
NM_001179998.3	211	282	227	270	302	260	212	293	281	353	322	321
NM_001179999.1	787	744	642	615	590	661	549	537	599	552	487	490
NM_001180000.3	2	3	3	2	2	3	1	1	4	2	5	4
NM_001180001.1	176	173	174	152	139	159	151	156	155	185	170	170
NM_001180002.3	2076	2096	1937	1972	1890	1930	1446	1572	1501	1640	1599	1600
NM_001180003.1	508	543	467	537	524	507	436	445	475	448	485	460
NM_001180004.3	394	368	359	324	318	379	371	363	359	308	340	316
NM_001180005.2	652	616	791	697	672	742	661	755	690	740	689	776
NM_001180006.3	396	428	565	305	305	369	345	351	329	278	310	297
NM_001180007.1	244	237	296	286	334	306	343	315	305	414	446	408
NM_001180008.3	172	146	109	139	142	121	134	143	138	156	144	133
NM_001180009.1	6198	5945	6406	7499	7235	7943	7256	7730	7714	8057	7749	8222
NM_001180010.3	103	129	127	127	105	109	99	101	114	96	105	118
NM_001180011.1	86	108	97	105	85	88	76	88	88	88	86	73
NM_001180012.3	760	784	842	769	849	838	871	949	987	880	932	878
NM_001180013.1	316	362	327	340	342	344	325	350	319	351	367	344
NM_001180014.3	459	451	438	417	410	371	354	350	408	325	338	306
NM_001180015.1	2578	2477	2660	2989	3172	3071	2375	2426	2528	2852	2827	2821
NM_001180016.3	2617	2467	2443	2249	2475	2561	2682	2901	2916	2842	2582	2637
NM_001180017.1	2046	1991	2114	2531	2799	2530	2717	2849	2646	3024	2999	2779
