transcripts	gene_name	wt_1	wt_2	wt_ssb1_flag_1	wt_ssb1_flag_2	wt_1_rpm	wt_2_rpm	wt_ssb1_flag_1_rpm	wt_ssb1_flag_2_rpm	min_corr_ck	min_corr_ip	comments	peak_num	peak_length	gaps	collision_start	peak_start	peak_end	collision_end	max_site	max_fold	mean_fold	ck_peak_rpm	ip_peak_rpm	P_Value	BHFDR	Peak_loci
YDR266C-t26_1	YDR266C	552	1310	709	1474	50.5384	50.8285	46.9934	55.972	0.5011	0.7839	Qualified	1	5	0	333	334	338	344	337	3.2123	2.7433	0.47564463486153286	1.5027043181371356	0.054161936632974236	-	cds
YDR266C-t26_1	YDR266C	552	1310	709	1474	50.5384	50.8285	46.9934	55.972	0.5011	0.7839	Qualified	2	10	0	417	423	432	435	428	3.9119	3.1603	0.8333567544174976	2.7913829215532933	0.004078588106393166	-	cds
YDR266C-t26_1	YDR266C	552	1310	709	1474	50.5384	50.8285	46.9934	55.972	0.5011	0.7839	Qualified	3	23	0	542	544	566	575	546	4.6024	3.1076	0.7666476820126402	4.5464285014479175	1.4880574356242342e-05	-	cds
YDR266C-t26_1	YDR266C	552	1310	709	1474	50.5384	50.8285	46.9934	55.972	0.5011	0.7839	Qualified	4	17	0	562	571	587	596	575	3.3852	2.5732	0.7418016087848475	2.849712949170575	0.0007685085688947338	-	cds
YDR266C-t26_1	YDR266C	552	1310	709	1474	50.5384	50.8285	46.9934	55.972	0.5011	0.7839	Qualified	5	11	0	617	625	635	637	632	2.6833	2.2509	2.784096143874089	5.783322770104512	0.058944217652338156	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	1	21	0	51	53	73	82	60	7.9819	5.3991	1.9840939256590204	10.632848819594468	1.4017128471968525e-05	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	2	20	0	70	79	98	107	83	4.4849	3.2607	1.1367828381825014	4.521924424959464	6.969369336098205e-06	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	3	16	0	96	105	120	129	112	6.5627	3.7108	1.4448028112828806	5.006592467893672	0.002015972732132434	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	4	19	0	117	126	144	149	129	2.971	2.3221	0.7806020150716618	1.9963515528867113	0.0011926143933114338	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	5	25	0	155	160	184	189	175	3.3823	2.6558	2.0213630355007095	5.602437640862351	0.00031893353689916166	-	cds
YDR267C-t26_1	YDR267C	295	714	836	1377	27.0088	27.7035	55.4111	52.2886	0.4449	0.7595	Qualified	6	14	0	261	262	275	284	270	5.916	4.1894	0.6308462600087901	4.398683957684573	1.1539150587899607e-05	-	cds
YDR268W-t26_1	YDR268W	109	274	235	412	9.9795	10.6313	15.5761	15.6448	0.2621	0.2452	Poor repeatability of ip samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR270W-t26_1	YDR270W	251	737	384	949	22.9803	28.5959	25.452	36.0362	0.176	0.346	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	1	5	0	53	55	59	68	58	2.7901	2.4933	1.1367828381825014	2.6353445516245917	0.012681750437011726	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	2	5	0	57	66	70	77	69	2.9376	2.6461	2.1338496807218923	2.517621728732402	0.7219828317623386	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	3	9	0	103	112	120	129	114	3.6499	2.7692	1.7497601914930094	4.12423739921367	0.0017894257494270515	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	4	5	0	117	126	130	137	130	2.7647	2.5011	0.27313414045282536	0.9766018635587549	0.09876468713593284	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	5	33	0	154	156	188	197	170	4.7605	2.9579	4.41286122717128	15.306322018574946	8.530667350009426e-09	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	6	9	0	220	223	231	235	227	2.4465	2.2746	0.6681153698504795	2.0336390514482057	0.0005777255657484124	-	cds
YDR272W-t26_1	YDR272W	618	1363	1058	1889	56.5811	52.885	70.1255	71.7307	0.52	0.7437	Qualified	7	5	0	238	242	246	255	242	2.8847	2.3216	1.1034283019800726	1.8154664236445497	0.08342219210618618	-	cds
YDR273W-t26_1	YDR273W	24	42	29	60	2.1973	1.6296	1.9222	2.2784	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR275W-t26_1	YDR275W	23	46	15	48	2.1058	1.7848	0.9942	1.8227	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR276C-t26_1	YDR276C	1780	4406	736	1491	162.9682	170.9546	48.7829	56.6175	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR277C-t26_1	YDR277C	42	102	23	46	3.8453	3.9576	1.5245	1.7468	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR279W-t26_1	YDR279W	173	445	294	454	15.839	17.2662	19.4867	17.2397	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR280W-t26_1	YDR280W	371	982	590	972	33.967	38.102	39.1059	36.9096	0.4467	0.5558	Qualified	1	8	0	101	104	111	112	108	3.6677	2.6858	1.242292316874173	2.3274147248498673	0.09541017297745444	-	cds
YDR280W-t26_1	YDR280W	371	982	590	972	33.967	38.102	39.1059	36.9096	0.4467	0.5558	Qualified	2	10	0	168	177	186	190	180	3.0683	2.5751	1.3656707022641268	2.730962077803368	0.017454612257169707	-	cds
YDR280W-t26_1	YDR280W	371	982	590	972	33.967	38.102	39.1059	36.9096	0.4467	0.5558	Qualified	3	15	0	228	234	248	251	241	3.3456	2.6485	1.2989616298592692	3.0330315773703864	0.002065097908322971	-	cds
YDR280W-t26_1	YDR280W	371	982	590	972	33.967	38.102	39.1059	36.9096	0.4467	0.5558	Qualified	4	5	0	262	266	270	279	269	2.4928	2.3037	0.1815789948201752	0.9949029300144966	0.07969443312241206	-	cds
YDR281C-t26_1	YDR281C	137	306	91	163	12.5431	11.8729	6.0316	6.1896	0.4342	0.7118	Qualified	1	5	0	76	83	87	96	85	2.4918	2.3232	0.558691317519547	1.5834823252928367	0.07894105755904332	-	cds
YDR282C-t26_1	YDR282C	52	162	109	182	4.7609	6.2857	7.2246	6.9111	0.2936	0.2008	Poor repeatability of ip samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR283C-t26_1	YDR283C	469	1246	1123	2155	42.9394	48.3453	74.4338	81.8315	0.2234	0.5243	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR284C-t26_1	YDR284C	366	839	160	328	33.5092	32.5535	10.605	12.4551	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR285W-t26_1	YDR285W	31	71	34	70	2.8382	2.7548	2.2536	2.6581	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR286C-t26_1	YDR286C	52	148	88	134	4.7609	5.7425	5.8327	5.0884	0.2728	0.5247	Qualified	1	8	0	103	105	112	113	109	5.7049	4.3736	0.38255819278375747	1.8437747303906766	0.001527639875680986	-	cds
YDR287W-t26_1	YDR287W	153	441	260	434	14.0079	17.111	17.2331	16.4802	0.2542	0.5037	Qualified	1	9	0	119	121	129	137	125	3.605	2.9424	0.4422900986591042	1.5931468827582163	0.029011068777112403	-	cds
YDR288W-t26_1	YDR288W	104	256	73	147	9.5217	9.9329	4.8385	5.582	0.3293	0.1808	Poor repeatability of ip samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR289C-t26_1	YDR289C	297	758	226	447	27.1919	29.4107	14.9795	16.9739	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR291W-t26_1	YDR291W	232	539	378	734	21.2408	20.9134	25.0543	27.8721	0.1939	0.2892	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR292C-t26_1	YDR292C	713	1803	715	1324	65.2788	69.9571	47.391	50.2761	0.5658	0.5765	Qualified	1	9	0	147	150	158	162	154	2.6181	2.2981	0.6238690934792793	1.4982147222294515	0.0032552952327030292	-	cds
YDR292C-t26_1	YDR292C	713	1803	715	1324	65.2788	69.9571	47.391	50.2761	0.5658	0.5765	Qualified	2	13	0	432	433	445	454	443	3.939	3.1757	1.3990252384665554	4.740097052763119	0.00024090640053962118	-	cds
YDR293C-t26_1	YDR293C	1902	4236	2053	4082	174.1379	164.3585	136.0752	155.0052	0.5318	0.5102	Qualified	1	16	0	539	541	556	558	552	2.9858	2.3764	1.163160207855419	3.4852444004757897	9.657844052097182e-05	-	cds
YDR293C-t26_1	YDR293C	1902	4236	2053	4082	174.1379	164.3585	136.0752	155.0052	0.5318	0.5102	Qualified	2	8	0	817	826	833	842	829	2.7474	2.4112	0.5198909112327328	1.1236610416720887	0.18644162375842982	-	cds
YDR293C-t26_1	YDR293C	1902	4236	2053	4082	174.1379	164.3585	136.0752	155.0052	0.5318	0.5102	Qualified	3	5	0	1223	1225	1229	1237	1227	2.3428	2.159	0.5571600210744219	1.280042094425796	0.11811459260972099	-	cds
YDR294C-t26_1	YDR294C	1048	1904	475	1539	95.9498	73.876	31.4836	58.4402	0.5626	0.4806	Qualified	1	6	0	308	312	317	321	316	2.9227	2.4983	0.6448005930678117	1.3798065336872498	0.12655670684220477	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	1	11	0	53	53	63	64	57	3.848	3.0682	0.31891171326915047	0.7819052637685362	0.007963802011511537	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	2	8	0	129	133	140	140	136	3.8023	2.8303	0.20097919796358232	0.422191102234248	0.09598786484181189	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	3	5	0	165	167	171	174	169	2.6531	2.3804	0.07760081257362862	0.1991861956979027	0.2617335765489907	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	4	7	0	178	180	186	186	182	3.5491	2.4887	0.2925343435962325	0.3980297085707997	0.5830468933151958	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	5	8	0	188	190	197	201	194	3.6545	2.8722	0.2995115101257433	0.2702996453882247	0.8551758923661559	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	6	5	0	242	244	248	249	246	3.0267	2.7911	0.18157899482017517	0.26546736665553505	0.5215688049972895	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	7	5	0	274	274	278	278	275	2.978	2.705	0.14277858853336087	0.26546736665553505	0.4699894601401142	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	8	5	0	319	323	327	334	326	3.7886	3.3452	0.07760081257362862	0.22749450244402925	0.42820576201593646	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	9	6	0	374	375	380	381	378	3.1549	2.666	0.15520162514725724	0.2416486558170925	0.47688755952278267	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	10	9	0	402	402	410	412	406	6.4281	3.9891	0.1358014220038501	0.5402566079514437	0.03916372694935776	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	11	11	0	435	438	448	457	445	5.9038	3.8104	0.2870884735118469	0.5737398762552656	0.22787409375799567	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	12	5	0	447	456	460	460	457	2.9017	2.4036	0.05820060943022146	0.15638105275370723	0.4643288185632959	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	13	20	0	469	470	489	491	483	4.975	3.1563	0.4353129321295934	0.9769445463837606	0.058794577497462995	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	14	6	0	515	521	526	528	524	4.6844	3.6279	0.15520162514725724	0.3838755551977364	0.026397432706494004	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	15	5	0	547	547	551	555	551	2.5478	2.2787	0.0845779791031394	0.18952163823252344	0.263967055957993	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	16	5	0	557	558	562	571	562	2.5537	2.3274	0.1233783853899537	0.1801997635921498	0.5635837079643073	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	17	5	0	561	570	574	575	570	2.2297	2.1254	0.07760081257362862	0.08526760306338527	0.8580464271459883	-	cds
YDR295C-t26_1	YDR295C	201	581	266	509	18.4026	22.543	17.6308	19.3282	0.3042	0.2846	Qualified	18	8	0	614	614	621	622	618	4.5543	3.0999	0.16217879167676802	0.4125265447688687	0.20139926285685125	-	cds
YDR296W-t26_1	YDR296W	231	504	315	618	21.1492	19.5554	20.8786	23.4672	0.4349	0.4709	Qualified	1	26	0	132	134	159	162	136	3.9254	2.7947	1.4517799778123914	5.641095870723868	5.646522689580396e-08	-	cds
YDR297W-t26_1	YDR297W	870	1857	402	884	79.653	72.0524	26.645	33.568	0.5926	0.6543	Qualified	1	12	0	75	79	90	92	82	3.6238	2.7837	1.3020242227495198	4.281646500442394	0.016228243862310053	-	cds
YDR298C-t26_1	YDR298C	947	2049	1074	1802	86.7027	79.502	71.186	68.4271	0.6164	0.8138	Qualified	1	27	0	72	74	100	109	96	3.7173	2.6761	10.825302009505727	24.043611773019173	3.5647148687776593e-06	-	cds
YDR299W-t26_1	YDR299W	710	1880	744	1435	65.0042	72.9448	49.3132	54.4911	0.5132	0.5433	Qualified	1	9	0	54	54	62	71	57	2.7608	2.2641	0.9233806036050226	1.9193777759886825	0.04943456162415713	-	cds
YDR299W-t26_1	YDR299W	710	1880	744	1435	65.0042	72.9448	49.3132	54.4911	0.5132	0.5433	Qualified	2	7	0	235	238	244	246	242	3.006	2.5969	1.1980460405029731	2.246636717694166	0.022783283577989945	-	cds
YDR299W-t26_1	YDR299W	710	1880	744	1435	65.0042	72.9448	49.3132	54.4911	0.5132	0.5433	Qualified	3	13	0	507	515	527	530	519	3.4732	2.578	1.2174462436463802	4.005829210671468	0.0002855433505234291	-	cds
YDR300C-t26_1	YDR300C	1163	2713	1268	2180	106.4786	105.2655	84.0445	82.7808	0.6223	0.6737	Qualified	1	11	0	77	83	93	96	85	3.6017	2.7408	1.3253389995321871	4.959297729041792	7.369227792610277e-05	-	cds
YDR300C-t26_1	YDR300C	1163	2713	1268	2180	106.4786	105.2655	84.0445	82.7808	0.6223	0.6737	Qualified	2	19	0	177	181	199	204	191	4.6317	3.0158	2.97112100877865	6.72609868253444	4.1561267462605805e-05	-	cds
YDR300C-t26_1	YDR300C	1163	2713	1268	2180	106.4786	105.2655	84.0445	82.7808	0.6223	0.6737	Qualified	3	5	0	309	312	316	325	312	2.5143	2.2944	0.7224014056414403	1.3414909866507385	0.0945288776037278	-	cds
YDR300C-t26_1	YDR300C	1163	2713	1268	2180	106.4786	105.2655	84.0445	82.7808	0.6223	0.6737	Qualified	4	5	0	339	348	352	354	350	4.6717	4.4164	0.8124252548289652	2.5590561403765744	0.032996693647827126	-	cds
YDR300C-t26_1	YDR300C	1163	2713	1268	2180	106.4786	105.2655	84.0445	82.7808	0.6223	0.6737	Qualified	5	10	0	399	403	412	413	409	3.0977	2.4915	2.426384024318125	5.526149229614334	0.02654449998793455	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	1	5	0	602	604	608	611	605	3.455	3.0815	0.1303555519194645	0.7822479465935419	0.05000023227069183	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	2	25	0	705	706	730	737	717	5.2066	3.1522	0.6168919269497686	3.4365789303238867	1.8860172641130615e-05	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	3	6	0	857	861	866	873	864	3.519	3.1032	0.22735656763650025	1.0290715639683297	0.012956889598581612	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	4	8	0	927	934	941	943	939	4.2248	3.2885	0.585068687192465	1.9573506402001881	0.014679913292910084	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	5	5	0	994	999	1003	1008	1001	2.731	2.3057	0.1303555519194645	0.6448533259455875	0.00873111440830272	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	6	5	0	1150	1159	1163	1167	1161	2.8572	2.6403	0.14975575506287164	0.6306991725725243	0.10198676770647185	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	7	6	0	1169	1173	1178	1179	1175	2.9438	2.4839	0.18157899482017517	0.6162023363744554	0.06649571332529315	-	cds
YDR301W-t26_1	YDR301W	560	1411	944	1747	51.2709	54.7474	62.5694	66.3386	0.3296	0.3712	Qualified	8	12	0	1304	1306	1317	1318	1310	3.5887	2.7084	0.3771123226993719	1.0905204561932724	0.06253101040724417	-	cds
YDR302W-t26_1	YDR302W	205	528	162	240	18.7688	20.4866	10.7375	9.1135	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR303C-t26_1	YDR303C	709	1738	664	1153	64.9126	67.4351	44.0107	43.7827	0.564	0.289	Qualified	0	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR304C-t26_1	YDR304C	1529	3250	1253	1633	139.9878	126.1013	83.0503	62.0097	0.6982	0.8806	Qualified	1	13	0	49	54	66	73	62	4.7274	3.219	8.172068068194323	9.158452808203457	0.763005630151739	-	cds
YDR305C-t26_1	YDR305C	155	420	235	390	14.191	16.2962	15.5761	14.8094	0.4193	0.5526	Qualified	1	11	0	70	71	81	90	74	4.9073	3.411	0.5323139478466291	2.4316687600190052	0.003616919242494216	-	cds
YDR305C-t26_1	YDR305C	155	420	235	390	14.191	16.2962	15.5761	14.8094	0.4193	0.5526	Qualified	2	9	0	156	158	166	170	162	2.8926	2.5014	0.4089355624566754	0.9907560169318181	0.004837585190621909	-	cds
YDR306C-t26_1	YDR306C	109	242	166	268	9.9795	9.3897	11.0027	10.1767	0.2248	0.279	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR307W-t26_1	YDR307W	290	758	174	388	26.551	29.4107	11.5329	14.7335	0.2903	0.158	Poor repeatability of ip samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR308C-t26_1	YDR308C	182	450	171	303	16.663	17.4602	11.3341	11.5058	0.5834	0.6451	Qualified	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	1	6	0	138	147	152	161	151	2.75	2.3813	0.9761353429508584	1.5931468827582163	0.20382889883157143	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	2	11	0	237	238	248	257	241	3.0386	2.6048	1.1243598015686047	2.9815899254358285	0.0009294048413172146	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	3	5	0	244	253	257	266	253	2.2487	2.1447	0.18855616134968595	0.6541752005859611	0.025576355804535243	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	4	37	0	259	268	304	313	283	4.4726	3.2155	3.8526386132066075	15.06501604558286	6.174677440501212e-14	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	5	13	0	305	314	326	335	318	3.1927	2.5467	1.1274223944588553	3.688234826431364	0.0006972715919715633	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	6	8	0	322	331	338	340	337	3.1757	2.9348	0.7224014056414403	1.981854716688642	0.1018755072831184	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	7	20	0	342	345	364	373	359	4.716	3.2969	1.411448275080452	5.830960191781399	6.769974589691356e-07	-	cds
YDR309C-t26_1	YDR309C	540	1478	881	1762	49.4398	57.347	58.3937	66.9082	0.4848	0.7037	Qualified	8	11	0	361	370	380	382	377	4.4473	3.2948	1.014935749237673	3.1907833614241152	0.010395930621599539	-	cds
YDR310C-t26_1	YDR310C	475	1163	482	1110	43.4887	45.1249	31.9475	42.1499	0.3762	0.2822	Qualified	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR311W-t26_1	YDR311W	275	693	400	632	25.1777	26.8887	26.5125	23.9989	0.2288	0.3153	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR312W-t26_1	YDR312W	388	993	664	1050	35.5234	38.5288	44.0107	39.8715	0.5277	0.7628	Qualified	1	33	0	91	96	128	129	104	9.5153	4.9141	1.7854980048895734	12.900220102702022	2.425999393380896e-07	-	cds
YDR313C-t26_1	YDR313C	64	129	61	123	5.8595	5.0053	4.0432	4.6707	0.1213	0.0702	Poor repeatability of ck samples	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR314C-t26_1	YDR314C	36	89	38	93	3.296	3.4532	2.5187	3.5315	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR315C-t26_1	YDR315C	30	110	79	148	2.7467	4.268	5.2362	5.62	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR316W-t26_1	YDR316W	68	180	73	156	6.2257	6.9841	4.8385	5.9238	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR316W-A-t26_1	YDR316W-A	0	0	0	0	0.0	0.0	0.0	0.0	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR316W-B-t26_1	YDR316W-B	0	0	0	0	0.0	0.0	0.0	0.0	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR317W-t26_1	YDR317W	24	62	56	101	2.1973	2.4056	3.7117	3.8353	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR318W-t26_1	YDR318W	46	154	65	100	4.2115	5.9753	4.3083	3.7973	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR319C-t26_1	YDR319C	80	178	42	88	7.3244	6.9065	2.7838	3.3416	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR320C-t26_1	YDR320C	356	998	276	568	32.5936	38.7228	18.2936	21.5686	-	-	Background value too large	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR320C-A-t26_1	YDR320C-A	174	429	48	97	15.9306	16.6454	3.1815	3.6834	-	-	Too few RPFs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	1	7	0	48	51	57	66	54	5.8751	4.6449	4.417455116506655	9.434304817156994	0.051284859630443984	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	2	15	0	54	63	77	81	65	2.9002	2.3974	8.240653767150096	14.185402439502901	0.005693970843598079	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	3	16	0	92	95	110	119	106	4.1718	3.0775	9.074862502316604	20.72852517666254	1.0566445671348925e-06	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	4	68	0	108	117	184	193	152	5.2326	3.2189	36.053706539772946	76.85917699822261	7.959217155945962e-14	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	5	7	0	191	200	206	215	203	3.4693	2.9341	1.6000044364301378	4.21951224256744	0.002850980324743783	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	6	5	0	202	211	215	224	212	2.9485	2.739	3.1721002067422326	7.018126222628463	0.047217893958556925	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	7	22	0	212	221	242	246	227	3.586	2.5198	6.5358191677244015	12.592255556744687	0.00012090707373818305	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	8	10	0	250	251	260	269	255	2.9285	2.5468	5.163171298930764	8.91783220086138	0.013232355724629923	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	9	63	0	262	271	333	342	284	8.9197	4.1722	30.564819026096416	80.77596909475562	1.7653598534564118e-15	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	10	8	0	329	338	345	354	342	3.2622	2.6304	5.633370063707911	8.418667321729103	0.028074142898329577	-	cds
YDR321W-t26_1	YDR321W	2636	6016	5614	10344	241.3394	233.4232	372.1025	392.7913	0.6927	0.8275	Qualified	11	24	0	343	352	375	379	359	7.2287	4.2672	13.378978992853067	37.49508905325543	9.814120580133504e-08	-	cds
