name	wt_ribo_YPD1_cds_rpm	wt_ribo_YPD2_cds_rpm	wt_ribo_YPD3_cds_rpm	ncs2d_ribo_YPD1_cds_rpm	ncs2d_ribo_YPD2_cds_rpm	ncs2d_ribo_YPD3_cds_rpm	elp6d_ribo_YPD1_cds_rpm	elp6d_ribo_YPD2_cds_rpm	elp6d_ribo_YPD3_cds_rpm	ncs2d_elp6d_ribo_YPD1_cds_rpm	ncs2d_elp6d_ribo_YPD2_cds_rpm	ncs2d_elp6d_ribo_YPD3_cds_rpm
NM_001178904.3	22.28	33.1	19.3	34.05	27.97	11.01	22.9	18.63	34.19	37.49	25.69	79.13
NM_001178905.1	16.6	29.68	17.48	18.51	17.11	7.55	11.41	11.64	19.69	16.44	12.67	32.67
NM_001178906.3	2.7	3.79	2.19	5.28	3.43	1.69	3.08	3.22	5.2	7.12	5.18	14.13
NM_001178907.1	28.63	46.45	29.82	40.71	40.98	15.1	27.61	24.08	40.84	46.76	36.37	83.96
NM_001178908.1	32.85	51.33	29.52	44.41	46.49	15.49	31.49	30.76	55.25	55.6	36.65	101.22
NM_001178909.3	9.0	11.52	5.6	7.4	7.43	2.99	5.77	5.15	11.12	12.1	8.02	16.5
NM_001178910.1	26.44	39.08	26.34	38.84	41.09	14.11	28.01	25.31	46.4	53.03	38.67	103.93
NM_001178911.3	18.11	26.25	14.83	21.71	21.22	9.67	15.94	11.74	22.43	28.33	18.26	51.29
NM_001178912.1	171.35	272.49	166.2	272.05	277.1	103.86	205.89	173.58	304.4	346.11	258.28	684.36
NM_001178913.1	29.37	50.82	23.69	42.83	39.23	13.8	27.0	21.8	43.21	52.97	35.47	101.65
NM_001178914.3	235.65	361.74	199.42	271.16	276.93	103.31	179.82	152.08	284.07	264.54	195.8	522.71
NM_001178915.1	1.8	2.33	1.82	2.76	2.65	0.94	2.2	1.98	2.28	3.48	2.84	5.25
NM_001178916.1	525.2	856.34	412.09	580.62	533.61	211.86	351.05	298.96	535.4	497.26	348.87	1020.27
NM_001178917.3	123.48	191.99	104.67	209.18	197.68	83.11	144.63	126.62	207.76	252.76	190.21	500.11
NM_001178918.1	76.96	121.7	58.73	108.17	101.21	35.97	61.75	53.15	91.07	101.87	72.61	200.84
NM_001178919.1	8.27	11.16	5.68	6.51	8.33	2.59	6.3	5.05	10.76	5.89	4.6	10.16
NM_001178920.3	19.75	29.46	15.44	24.43	22.01	8.85	13.43	11.84	20.69	25.33	18.53	47.31
NM_001178921.1	45.9	74.3	43.29	59.96	57.19	20.84	28.8	25.31	41.02	53.29	42.73	106.3
NM_001178922.1	82.86	131.83	76.59	96.77	97.04	38.17	63.81	54.59	92.9	100.96	69.77	195.0
NM_001178923.3	30.21	44.99	20.51	31.93	31.86	13.17	21.71	20.16	33.18	35.99	23.71	70.59
NM_001178924.1	6.92	15.09	7.64	9.43	7.94	4.72	6.34	5.75	10.48	11.3	6.85	19.72
NM_001178925.1	16.37	19.1	11.73	16.73	16.1	6.13	10.13	11.59	16.04	18.16	11.72	30.05
NM_001178926.3	14.23	20.27	11.96	16.24	14.92	6.76	10.7	10.75	15.68	21.1	16.27	40.12
NM_001178927.1	517.55	805.74	464.92	578.49	603.74	219.37	421.38	347.51	655.47	562.5	411.39	1117.77
NM_001178928.1	3.66	5.91	4.16	4.05	2.59	1.1	3.66	3.76	4.1	2.57	2.03	6.69
NM_001178929.3	4.22	7.73	4.69	5.67	5.57	1.69	3.88	2.77	4.92	6.11	4.87	12.86
NM_001178930.1	0.0	0.0	0.0	0.2	0.06	0.0	0.0	0.05	0.0	0.11	0.0	0.0
NM_001178931.3	16.43	30.48	14.68	24.38	21.9	8.18	16.43	14.76	24.89	26.94	17.04	48.83
NM_001178932.2	2.14	4.45	3.33	3.21	2.93	0.94	2.25	1.98	2.92	2.73	2.16	6.43
NM_001178933.1	52.77	82.69	50.25	75.99	82.52	30.39	68.0	55.38	94.72	107.39	80.32	205.07
NM_001178934.3	1294.49	1926.99	977.51	1200.71	1228.59	426.82	870.24	697.2	1351.32	1013.97	755.35	2151.59
NM_001178935.1	28.41	42.44	22.78	19.49	20.32	5.46	13.87	12.93	20.15	12.48	10.01	25.56
NM_001178936.3	7.37	11.74	4.77	8.83	6.42	2.95	5.2	4.36	7.11	7.61	6.4	17.43
NM_001178937.1	2.98	2.92	1.82	3.26	3.26	0.75	1.98	1.54	2.73	4.07	2.61	5.42
NM_001178938.1	16.31	29.68	14.46	18.01	19.03	7.04	12.46	11.1	17.87	18.21	14.02	40.79
NM_001178939.3	103.79	178.06	93.54	111.47	101.94	37.54	66.77	57.56	99.09	99.36	73.74	187.38
NM_001178940.1	136.93	213.36	133.12	163.54	164.75	64.91	131.64	113.49	211.59	170.59	123.91	353.1
NM_001178941.3	19.86	33.98	22.1	33.36	32.59	12.66	18.63	19.02	28.35	43.6	29.07	74.39
NM_001178942.1	7.88	11.08	5.3	8.93	9.46	2.83	5.24	4.85	8.48	8.78	6.18	16.5
NM_001178943.1	134.17	208.18	115.34	210.12	206.18	78.27	205.98	174.97	311.05	276.27	201.89	546.57
NM_001178944.3	4.56	9.19	5.3	7.75	6.3	2.36	4.49	5.2	7.02	9.48	6.9	18.37
NM_001178945.1	0.45	1.31	0.98	1.28	1.01	0.31	0.79	0.84	0.91	1.77	1.76	2.54
NM_001178946.3	228.57	346.8	191.63	320.66	323.88	106.97	299.83	239.57	409.51	335.08	244.93	668.19
NM_001178947.1	259.34	421.9	235.22	315.62	310.31	124.9	252.88	215.89	384.07	285.86	236.82	622.49
NM_001178948.3	78.81	129.21	75.3	77.18	80.72	27.01	59.98	52.51	90.53	73.59	49.9	134.15
NM_001178949.1	2.7	5.47	3.25	4.49	2.93	1.3	2.07	2.18	3.19	2.79	1.67	4.99
NM_001178950.1	18.62	33.25	17.26	22.7	21.5	10.22	15.9	15.11	26.16	26.19	18.12	53.66
NM_001178951.3	11.31	19.69	11.96	11.05	10.81	3.58	9.2	8.47	14.5	6.64	5.72	13.63
NM_001178952.2	10.91	17.94	9.38	11.2	11.54	3.3	7.27	6.79	12.12	11.84	6.72	22.17
NM_001178953.3	42.53	61.54	40.57	58.62	57.24	19.81	52.23	47.85	70.93	57.58	43.41	117.64
NM_001178954.1	52.49	89.98	43.21	59.27	49.42	19.77	30.43	27.0	47.5	39.9	29.16	78.8
NM_001178955.1	82.81	146.42	64.78	119.27	115.56	35.77	65.31	68.02	100.01	125.17	81.31	223.77
NM_001178956.3	0.9	1.09	0.76	1.43	1.52	0.28	0.7	0.94	0.82	3.27	1.71	4.57
NM_001178957.1	2.25	3.14	2.57	2.22	1.86	1.3	2.69	1.49	3.92	3.05	2.03	5.59
NM_001178958.1	6.02	9.99	3.94	8.24	7.54	2.12	4.05	4.76	5.83	16.76	11.13	26.83
NM_001178959.3	56.31	91.22	53.13	56.11	54.32	19.74	39.72	34.68	56.7	53.51	38.22	107.4
NM_001178960.1	27.28	40.69	24.14	30.2	33.27	10.97	32.33	26.6	44.4	49.49	36.1	88.87
NM_001178961.1	320.32	489.71	322.86	393.59	397.56	154.97	330.0	278.26	508.78	479.21	342.47	990.91
NM_001178962.3	9.0	19.32	8.48	13.62	12.44	4.84	9.91	10.35	13.95	17.94	11.31	30.81
NM_001178963.1	335.0	490.73	275.26	333.29	311.21	73.99	210.65	183.99	219.61	155.22	117.73	307.31
NM_001178964.2	123.54	190.53	104.52	225.27	231.29	89.83	207.74	183.34	325.45	462.66	323.27	950.2
NM_001178965.3	1933.95	2828.47	1398.45	1926.8	1919.97	701.85	1150.52	1007.06	1905.59	1659.01	1266.77	3343.84
NM_001178966.2	24.64	37.63	18.62	23.09	22.12	9.08	17.0	16.64	28.17	22.23	14.47	40.12
NM_001178967.3	2.14	3.79	2.57	2.71	2.93	1.18	1.85	1.54	2.55	2.73	1.62	6.09
NM_001178968.1	10.8	22.82	13.55	13.37	14.47	4.87	9.82	9.07	13.67	15.48	10.77	30.98
NM_001178969.1	18.0	28.58	15.67	22.16	24.32	7.82	17.09	14.51	27.26	26.62	18.3	50.53
NM_001178970.1	10.52	19.83	8.48	11.25	11.43	3.81	7.27	6.44	10.39	13.5	8.43	27.0
NM_001178971.1	96.48	167.78	88.02	125.49	121.52	48.16	87.86	74.7	124.71	121.1	89.07	235.2
NM_001178972.3	16.15	21.36	10.29	46.73	47.0	16.31	23.39	18.97	30.08	70.92	49.4	143.63
NM_001178973.1	64.13	100.77	61.53	57.29	58.31	23.12	37.39	35.07	58.16	50.24	35.79	96.82
NM_001178974.1	61.82	93.48	52.22	76.24	80.94	29.37	46.86	44.88	72.84	88.7	62.02	163.94
NM_001178976.3	0.11	0.22	0.15	0.0	0.17	0.04	0.0	0.15	0.09	0.11	0.18	0.25
NM_001178977.1	196.78	304.36	184.36	211.3	220.08	89.52	175.63	151.93	270.21	238.24	170.16	451.7
NM_001178978.1	11.36	19.76	12.94	11.74	12.05	5.27	8.68	6.89	14.13	10.28	8.2	26.91
NM_001178979.3	71.05	102.96	50.71	97.9	98.0	34.56	61.57	56.77	98.64	118.05	74.24	211.16
NM_001178980.1	73.81	109.38	68.87	59.07	61.86	27.99	48.22	40.32	82.41	67.11	47.96	143.88
NM_001178981.1	232.79	370.13	193.82	386.04	378.76	130.95	292.74	237.09	428.01	443.11	333.55	885.28
NM_001178982.3	539.38	820.69	377.73	437.07	435.55	143.18	298.29	256.66	427.1	286.98	210.86	610.3
NM_001178983.3	22.0	28.0	16.95	25.12	24.71	10.93	16.3	16.25	27.26	26.89	21.77	51.88
NM_001178984.1	12.66	19.69	14.0	18.36	17.79	6.01	13.26	11.05	20.42	19.5	14.11	36.73
NM_001178985.3	89.95	135.63	77.8	140.79	142.69	57.16	107.46	96.7	166.46	191.75	151.72	391.94
NM_001178986.3	31.56	50.82	29.06	43.38	36.76	16.94	24.93	21.8	41.48	41.35	30.52	79.05
NM_001178987.1	1.24	3.14	1.14	2.22	2.31	0.67	1.41	1.63	1.91	4.07	2.52	6.94
NM_001178989.1	2.7	6.56	3.56	4.34	3.77	1.06	2.2	3.22	4.74	3.43	2.97	7.11
NM_001178990.3	38.2	63.0	36.25	57.74	57.3	18.4	35.76	30.17	54.24	59.99	45.43	114.68
NM_001178991.3	68.63	111.86	55.02	91.24	95.58	31.18	48.53	43.69	66.37	86.66	57.06	156.74
NM_001178992.1	12.09	19.03	10.29	16.63	16.27	5.98	10.97	8.67	16.68	20.25	11.72	37.66
NM_001178993.1	3640.57	5415.06	2749.83	3574.35	3664.27	1280.86	2385.86	2074.56	3737.98	3094.51	2237.89	5910.99
NM_001178994.3	24.81	37.92	20.96	57.74	45.09	14.23	24.97	32.74	34.73	75.74	54.72	131.18
NM_001178995.3	7.48	10.79	6.05	8.34	8.33	2.91	5.15	4.56	8.2	7.45	6.09	18.45
NM_001178996.1	91.7	141.31	83.02	105.16	103.96	40.22	91.12	76.09	125.99	109.27	79.06	212.1
NM_001178997.1	0.17	0.07	0.0	0.2	0.17	0.12	0.18	0.1	0.09	0.16	0.23	0.34
NM_001178998.3	44.61	69.85	37.46	51.47	47.28	19.22	32.24	28.83	47.95	46.06	33.31	79.9
NM_001179000.1	930.3	1454.63	770.44	906.85	875.44	345.4	669.86	574.15	1052.21	867.64	623.69	1829.13
NM_001179001.1	34.93	58.33	27.55	38.15	34.11	14.15	21.54	21.45	34.0	34.44	24.34	65.08
NM_001179002.3	39.21	66.79	41.85	43.23	41.88	15.92	25.32	23.83	41.84	39.21	27.81	70.33
NM_001179003.3	26.72	39.08	25.88	24.53	25.78	9.91	19.29	18.53	30.36	25.23	19.79	53.15
NM_001179004.1	83.31	138.98	57.75	109.01	94.79	36.99	65.62	55.88	99.82	106.43	76.9	228.18
NM_001179005.1	2.42	4.08	2.5	2.07	3.32	0.79	1.85	1.63	1.82	1.71	0.99	3.39
NM_001179006.3	6.64	11.16	7.42	7.25	7.04	3.38	5.06	4.46	7.84	8.68	6.13	18.45
NM_001179007.3	1558.95	2417.28	1348.43	1625.98	1629.81	626.88	1030.07	931.47	1648.79	1390.45	1095.26	2869.29
NM_001179008.1	40.45	63.51	34.13	42.98	43.12	16.83	35.76	30.52	49.78	47.35	38.99	103.0
NM_001179009.1	22.84	35.88	18.77	29.66	28.59	11.72	24.49	21.85	33.09	36.74	27.72	76.43
NM_001179010.3	303.27	462.88	258.98	377.21	382.59	145.58	254.95	233.82	427.28	462.45	316.78	852.02
NM_001179011.3	0.39	0.8	0.38	0.74	0.73	0.2	0.53	0.64	1.19	1.07	1.08	1.61
NM_001179012.1	173.15	266.88	139.03	244.27	226.84	83.26	140.8	124.09	214.96	237.22	167.86	434.35
NM_001179013.1	30.38	47.54	27.7	28.37	36.59	12.42	21.27	18.03	32.0	31.12	23.98	65.51
NM_001179014.3	165.33	255.14	157.49	214.66	229.15	82.09	198.27	168.13	293.64	276.0	196.12	530.66
NM_001179015.3	202.91	324.48	182.02	249.55	248.12	96.43	168.94	144.7	263.46	249.86	175.56	486.06
NM_001179016.1	106.27	167.13	84.39	131.26	129.24	46.55	70.86	63.46	115.41	121.75	81.95	207.02
NM_001179017.1	47.14	75.03	41.1	59.61	55.5	19.77	38.05	35.22	57.62	68.45	52.06	135.75
NM_001179018.3	5.57	10.5	6.74	4.74	3.55	1.97	3.7	2.48	5.47	3.75	2.84	6.94
NM_001179019.3	18.06	31.79	17.71	22.11	22.29	8.18	15.72	14.07	24.25	22.34	14.11	45.11
NM_001179020.1	14.35	21.15	12.64	19.39	18.63	6.84	14.05	13.52	19.6	19.82	14.2	35.8
NM_001179021.1	737.12	1133.21	578.29	676.55	694.14	243.43	415.0	379.71	647.26	557.04	371.82	1024.84
NM_001179022.3	15.86	25.81	15.82	20.33	18.41	8.73	17.22	12.24	22.34	22.87	14.65	44.52
NM_001179023.3	190.82	313.03	199.35	230.99	231.12	84.09	154.27	130.24	221.44	226.67	161.86	423.68
NM_001179024.1	19.18	31.35	17.48	18.95	22.46	8.22	17.84	14.71	27.08	26.67	18.16	41.81
NM_001179026.1	150.37	241.72	150.15	185.1	171.96	69.7	134.54	112.3	192.36	187.41	138.65	384.24
NM_001179027.3	3.04	4.45	3.1	4.49	3.43	1.61	2.64	1.88	3.1	4.12	2.97	7.7
NM_001179028.4	0.0	0.0	0.08	0.05	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0
NM_001179029.3	8.38	11.23	6.96	10.56	11.6	4.17	6.91	6.74	10.85	9.96	7.53	22.43
NM_001179030.3	10.63	17.57	9.46	11.65	9.96	5.11	8.02	7.53	11.03	9.48	8.7	21.07
NM_001179031.1	52.26	92.17	50.33	71.85	71.94	26.14	51.18	49.84	68.37	88.91	61.93	170.45
NM_001179032.1	6.98	12.91	9.08	16.04	12.72	5.27	8.5	8.37	13.04	15.21	12.89	27.84
NM_001179033.3	41.8	63.8	32.09	63.56	65.12	22.76	42.1	36.36	54.88	69.15	51.79	134.06
NM_001179034.3	15.02	22.31	13.24	15.15	18.41	6.01	12.55	10.85	17.87	17.78	14.06	35.72
NM_001179035.1	199.71	302.97	184.89	252.31	237.59	103.16	185.28	163.62	268.48	274.29	231.86	589.65
NM_001179036.1	43.6	65.33	37.92	50.58	52.29	18.28	31.36	27.05	56.43	46.28	36.19	104.19
NM_001179037.3	8.38	12.1	7.34	11.3	10.13	4.13	7.35	6.64	13.22	12.8	9.56	28.44
NM_001179038.3	74.2	123.96	67.74	92.82	85.61	35.5	53.73	48.7	83.41	77.5	53.05	142.02
NM_001179039.1	16.54	28.22	15.97	21.96	23.47	9.0	20.04	17.69	26.62	28.55	19.47	57.13
NM_001179040.1	3.15	5.61	2.42	4.15	4.11	1.73	3.92	3.67	4.74	5.95	4.46	8.72
NM_001179041.3	86.41	139.35	68.49	102.0	93.83	36.05	63.24	54.59	99.82	98.77	62.43	196.61
NM_001179042.3	20.14	35.36	20.66	29.81	31.86	13.29	29.2	24.03	49.5	46.87	31.82	86.16
NM_001179043.1	2.48	4.38	2.8	2.22	2.87	1.45	1.94	1.39	3.1	3.16	2.03	5.5
NM_001179044.1	33.7	49.88	28.53	32.37	30.85	14.07	22.37	20.61	37.83	39.15	24.66	70.92
NM_001179045.3	151.21	248.87	135.55	166.35	154.4	67.11	122.12	106.85	176.86	173.7	111.78	348.61
NM_001179046.3	105.14	157.57	93.47	130.28	137.9	54.06	100.5	86.69	159.99	162.29	118.55	324.07
NM_001179047.1	29.37	41.05	22.93	28.33	27.07	9.91	20.61	15.36	28.99	25.39	16.99	51.71
NM_001179048.1	6.24	9.19	4.54	4.89	4.17	1.97	3.57	3.76	5.01	4.98	4.82	9.31
NM_001179049.3	18.68	27.85	16.57	21.81	22.35	8.57	11.36	10.35	19.96	20.57	16.18	39.44
NM_001179050.4	3.71	3.94	2.04	2.22	2.2	0.71	1.94	2.28	2.73	1.61	1.4	3.22
NM_001179051.1	18.73	34.56	18.32	25.22	23.25	9.59	13.34	11.79	19.24	25.01	17.13	44.52
NM_001179052.4	7.99	14.51	8.4	11.94	9.74	4.4	6.39	6.04	9.12	10.39	7.89	23.44
NM_001179053.3	13.9	22.53	13.02	16.63	17.67	7.39	12.33	10.01	15.68	20.78	13.66	38.42
NM_001179054.1	106.66	169.75	90.21	95.73	94.56	33.34	57.43	48.45	84.42	72.09	53.37	140.16
NM_001179055.1	1643.39	2538.91	1279.78	1698.47	1710.07	626.22	1131.54	988.78	1834.3	1499.56	1088.99	2969.92
NM_001179056.3	79.88	130.96	75.23	92.53	89.22	34.71	73.37	57.17	99.55	89.93	67.48	200.16
NM_001179057.3	28.47	47.69	23.31	29.02	28.2	11.68	21.67	18.48	32.18	33.96	22.45	63.56
NM_001179058.1	41.69	65.84	42.0	48.21	44.8	16.75	38.18	30.47	51.51	46.6	33.13	97.41
NM_001179059.1	20.87	33.76	19.9	23.49	23.08	8.49	15.28	13.67	24.25	24.96	16.36	46.8
NM_001179060.3	10.69	14.58	9.08	12.83	11.76	5.78	9.91	7.78	13.4	13.5	9.29	23.36
NM_001179061.3	30.43	56.73	27.17	38.93	37.54	13.8	29.86	24.82	44.31	40.22	29.84	76.17
NM_001179062.1	65.82	114.99	53.73	85.22	73.23	28.31	50.38	38.0	69.01	76.49	52.33	146.93
NM_001179063.1	4.05	7.73	4.69	5.82	6.47	1.85	4.45	4.71	6.38	6.75	5.59	14.3
NM_001179064.3	18.11	34.71	15.82	17.57	19.81	7.63	15.94	12.88	23.25	23.62	14.96	40.12
NM_001179065.3	7.26	11.59	6.21	4.89	5.69	2.56	5.9	5.6	9.12	9.8	6.85	21.5
NM_001179066.1	52.49	81.23	45.11	81.72	79.65	29.64	51.62	46.42	76.03	99.84	59.95	180.7
NM_001179067.3	651.27	1061.75	548.17	820.2	803.79	318.87	535.71	463.88	834.15	787.83	597.23	1565.49
NM_001179068.3	590.85	903.67	518.12	647.88	658.9	278.53	475.2	418.05	783.28	692.23	508.98	1365.92
NM_001179069.1	0.68	1.09	0.91	0.79	1.35	0.43	0.62	0.45	1.19	1.34	0.77	1.44
NM_001179070.1	0.0	0.36	0.0	0.05	0.11	0.08	0.09	0.05	0.0	0.05	0.05	0.17
NM_001179072.3	8.61	16.19	7.11	11.4	9.4	4.91	6.78	6.74	10.94	10.34	6.58	19.8
NM_001179073.1	21.55	31.06	17.94	22.9	26.46	10.34	21.23	20.71	29.54	30.05	22.49	66.69
NM_001179074.1	1.69	2.7	1.59	1.33	0.56	0.24	0.57	0.45	0.36	0.96	0.36	1.69
NM_001179075.3	0.17	0.07	0.15	0.54	0.62	0.08	0.44	0.2	0.46	0.75	0.99	1.52
NM_001179076.3	0.11	0.15	0.0	0.1	0.17	0.04	0.09	0.15	0.0	0.16	0.05	0.0
NM_001179077.1	0.0	0.0	0.0	0.05	0.0	0.0	0.04	0.05	0.0	0.0	0.09	0.17
NM_001179079.3	0.0	0.15	0.08	0.1	0.06	0.0	0.09	0.1	0.0	0.11	0.14	0.08
NM_001179080.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179081.1	1396.82	2146.76	1104.81	1547.92	1539.92	528.96	968.81	832.24	1465.55	1395.97	1047.48	2835.95
NM_001179082.1	36.9	54.18	31.41	51.17	46.04	16.39	33.03	25.31	44.58	54.9	36.51	93.86
NM_001179083.1	90.06	147.58	75.98	127.41	125.92	43.32	95.57	79.71	125.71	126.35	104.53	272.86
NM_001179084.1	35.38	53.59	29.44	42.24	42.1	18.56	32.5	28.24	46.31	49.22	32.36	92.51
NM_001179086.1	1.8	3.28	1.67	1.92	2.03	0.86	1.63	1.24	2.83	2.79	1.62	4.82
NM_001179087.1	74.65	130.6	62.14	81.13	70.58	27.83	49.19	43.45	71.65	66.15	48.14	144.13
NM_001179088.1	11.19	16.41	8.48	12.09	9.85	4.29	7.66	6.84	9.85	13.5	8.88	25.98
NM_001179089.1	14.85	29.68	14.91	19.49	16.44	7.47	13.17	11.34	19.14	16.76	11.94	32.25
NM_001179090.1	6.24	12.61	7.19	7.85	7.15	2.12	4.49	4.06	6.65	6.0	4.87	11.76
NM_001179091.1	140.86	226.77	129.04	193.34	208.1	76.94	164.18	133.75	248.6	242.31	177.46	491.31
NM_001179092.1	0.23	0.22	0.45	0.05	0.11	0.0	0.04	0.1	0.18	0.0	0.0	0.25
NM_001179093.1	34.43	53.81	33.0	37.8	36.7	14.11	20.39	18.28	33.91	35.19	28.49	68.55
NM_001179094.1	6.02	8.39	6.28	6.66	6.7	2.32	5.28	3.91	8.02	6.16	5.45	11.59
NM_001179095.1	1413.14	2127.88	975.39	1467.38	1522.97	494.91	958.55	834.57	1548.78	1292.86	870.75	2362.84
NM_001179096.1	1.13	1.97	1.51	1.43	1.24	0.83	2.42	1.04	2.1	1.71	1.62	3.98
NM_001179097.1	39.66	62.85	38.6	47.67	50.83	18.48	36.77	31.46	51.78	49.6	38.22	100.97
NM_001179098.1	3.49	4.67	2.57	2.86	4.05	1.34	1.89	1.54	3.37	2.62	2.88	6.35
NM_001179099.1	6.92	13.93	8.25	11.74	12.44	4.29	7.53	6.89	11.03	12.8	8.83	29.03
NM_001179100.1	17.55	24.86	13.62	18.85	18.07	7.23	11.19	8.87	19.96	18.59	11.54	31.4
NM_001179101.1	25.93	41.13	21.12	38.24	38.56	15.14	26.73	24.82	40.2	63.85	38.27	114.6
NM_001179102.1	0.62	0.95	0.76	0.99	1.29	0.47	0.62	0.59	1.09	1.12	0.86	2.2
NM_001179103.1	16.71	26.98	14.99	22.06	21.16	7.78	16.74	13.08	19.33	19.82	13.88	43.5
NM_001179104.1	2.98	3.35	1.21	2.02	1.58	0.59	1.32	1.44	2.01	2.46	1.44	4.06
NM_001179105.1	19.35	25.74	15.21	21.52	22.12	8.49	15.94	12.93	24.07	26.73	17.98	47.23
NM_001179106.1	3.04	4.08	3.56	1.92	1.63	0.94	1.54	1.09	3.1	1.5	1.35	3.64
NM_001179107.1	52.77	79.33	39.13	65.73	61.69	25.47	41.05	38.64	68.19	74.66	52.74	143.29
NM_001179108.1	5.4	10.35	4.39	4.89	5.97	1.97	3.26	3.91	4.47	1.34	1.76	3.05
NM_001179109.1	17.1	25.3	16.73	15.84	19.76	8.49	14.23	13.47	23.06	18.32	11.36	42.4
NM_001179110.1	126.8	204.17	127.68	199.86	174.49	77.88	127.59	107.84	191.72	188.21	135.49	379.76
NM_001179111.1	27.4	40.54	22.86	43.92	42.44	17.18	29.6	27.39	47.41	66.36	45.57	117.3
NM_001179112.1	1.63	4.16	2.65	3.36	3.49	1.42	2.42	2.48	4.65	4.71	3.25	6.6
NM_001179113.1	1750.95	2594.04	1330.64	1469.7	1540.08	547.98	963.04	876.78	1612.78	1128.86	792.5	2162.51
NM_001179114.1	339.9	565.69	289.03	400.8	377.01	131.07	201.4	174.18	303.76	324.53	226.45	581.86
NM_001179115.1	13.73	19.83	12.18	17.17	11.2	4.52	8.54	8.67	13.04	11.19	8.65	26.91
NM_001179116.1	3.15	4.52	1.74	2.32	2.81	0.94	2.33	1.63	2.1	2.79	1.71	5.59
NM_001179118.1	8.83	15.75	11.58	13.47	11.26	4.76	10.97	10.16	16.5	18.43	13.57	37.07
NM_001179119.1	48.44	79.7	41.47	74.37	72.33	28.19	54.04	45.62	79.31	89.07	66.89	179.0
NM_001179120.1	79.94	107.12	66.07	90.35	73.62	34.71	51.13	46.02	79.59	54.53	51.34	111.63
NM_001179122.1	1.58	1.02	0.38	1.28	1.35	0.47	0.97	0.99	1.28	1.29	1.49	2.62
NM_001179123.1	0.06	0.07	0.0	0.1	0.0	0.0	0.09	0.0	0.0	0.11	0.0	0.0
NM_001179124.1	2.03	3.14	1.97	2.66	3.04	1.18	2.33	2.08	4.47	6.16	4.15	9.73
NM_001179126.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179127.2	91.42	83.13	42.68	61.83	42.78	19.54	22.28	18.18	33.55	23.89	23.21	53.49
NM_001179128.1	21.49	31.35	11.73	29.02	29.04	11.64	22.72	11.05	29.17	34.07	24.25	72.28
NM_001179129.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179130.1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.08
NM_001179131.1	38.03	67.38	39.43	57.83	57.98	21.15	39.42	35.77	56.43	70.81	50.84	143.96
NM_001179132.1	4.95	6.64	3.94	4.1	4.95	1.69	3.66	3.27	6.56	5.95	4.82	12.44
NM_001179133.1	28.47	42.44	29.06	35.28	37.66	14.23	27.48	25.51	45.49	43.6	31.1	88.1
NM_001179134.1	6.02	8.46	5.6	5.38	7.04	1.61	4.14	3.67	6.56	6.27	3.92	13.63
NM_001179135.1	50.46	76.2	46.54	56.7	57.53	23.0	36.16	29.08	50.6	32.3	24.34	75.33
NM_001179136.1	28.3	43.68	22.78	35.43	33.43	12.27	23.56	20.06	34.19	41.67	27.68	75.58
NM_001179137.1	432.38	633.29	384.16	445.6	442.59	164.45	363.95	309.17	506.51	429.56	329.67	894.68
NM_001179138.1	96.37	149.04	80.3	106.15	118.04	45.8	77.95	76.64	142.58	137.6	89.61	255.51
NM_001179139.1	43.82	66.87	40.49	47.52	48.63	19.18	34.4	30.12	50.87	45.85	29.57	85.48
NM_001179140.1	1466.41	2304.04	1126.45	1544.46	1645.29	568.19	1137.17	978.78	1800.85	1532.02	1135.92	2975.25
NM_001179141.1	4.61	9.7	5.9	5.58	4.95	2.16	3.92	3.22	5.01	4.66	2.97	8.21
NM_001179142.1	28.63	46.81	31.86	47.37	46.72	18.91	35.45	30.61	44.03	59.61	44.22	114.34
NM_001179143.1	58.17	99.68	55.02	73.53	77.96	29.01	53.99	44.53	78.77	81.73	58.6	154.63
NM_001179144.1	0.0	0.29	0.0	0.05	0.06	0.04	0.09	0.05	0.09	0.05	0.09	0.51
NM_001179145.1	1.41	4.3	2.65	1.88	2.08	0.39	1.28	1.14	2.64	1.98	1.53	4.82
NM_001179146.1	31.28	52.28	28.31	47.32	48.46	19.54	31.27	27.05	42.66	55.65	40.25	102.92
NM_001179147.1	10.46	15.97	10.22	13.03	16.27	5.78	11.27	8.97	14.13	17.19	14.96	35.72
NM_001179148.1	54.96	95.3	52.52	172.67	171.56	62.94	196.42	160.9	290.36	381.73	300.6	789.81
NM_001179149.1	772.39	1204.89	651.93	736.45	739.39	275.82	516.51	458.97	873.44	603.64	443.62	1173.04
NM_001179150.1	629.16	928.75	492.77	584.86	574.41	226.36	409.18	366.43	670.33	552.65	410.99	1112.44
NM_001179151.1	1128.6	1625.55	790.05	1074.53	1182.43	373.55	733.32	636.32	1152.13	970.69	681.25	1875.93
NM_001179152.1	0.34	0.95	0.38	0.59	0.68	0.12	0.66	0.25	0.46	0.37	0.32	0.76
