name	SRR1944912_f0	SRR1944912_f1	SRR1944912_f2	SRR1944913_f0	SRR1944913_f1	SRR1944913_f2	SRR1944914_f0	SRR1944914_f1	SRR1944914_f2	SRR1944915_f0	SRR1944915_f1	SRR1944915_f2	SRR1944916_f0	SRR1944916_f1	SRR1944916_f2	SRR1944917_f0	SRR1944917_f1	SRR1944917_f2
NM_001179688.1	443	302	176	559	268	231	317	127	152	400	256	126	334	172	177	191	91	109
NM_001179690.1	66	41	22	104	39	38	47	31	36	109	79	38	116	45	44	40	27	26
NM_001179691.1	301	152	129	347	168	165	188	67	110	423	248	99	348	169	180	187	70	99
NM_001179692.1	850	395	337	1131	477	493	549	208	320	1501	993	396	1323	590	592	766	281	371
NM_001179693.1	1687	934	716	2253	1046	889	1124	365	613	2310	1714	636	2150	1021	947	1099	388	589
NM_001179694.1	561	258	197	627	257	246	352	106	187	754	429	186	591	273	290	355	134	162
NM_001179695.2	408	181	134	515	215	247	298	105	179	466	359	123	393	190	221	213	86	129
NM_001179696.1	219	136	110	344	137	127	159	68	87	370	248	123	363	151	132	206	86	70
NM_001179698.1	3	4	2	8	3	5	1	2	3	12	5	1	15	7	1	7	4	4
NM_001179699.2	13	7	3	25	10	11	7	1	7	31	17	6	16	6	12	15	4	14
NM_001179700.2	153	75	52	219	96	96	92	31	55	242	142	67	159	82	92	112	23	37
NM_001179701.1	335	199	152	470	209	205	269	90	155	577	404	163	522	219	247	301	102	151
NM_001179703.1	158	70	61	224	84	76	117	32	76	215	141	77	182	78	95	133	39	61
NM_001179704.1	167	64	61	221	103	93	120	42	68	256	130	65	215	86	99	102	28	51
NM_001179705.1	173	90	48	232	98	83	126	43	58	218	129	80	195	88	77	100	32	50
NM_001179706.1	250	134	97	316	150	169	196	66	111	257	157	79	259	93	116	125	40	75
NM_001179707.1	495	290	162	690	331	237	331	148	200	734	537	217	703	375	317	361	172	195
NM_001179708.1	786	389	313	935	440	393	484	195	252	1455	981	459	1236	562	581	698	278	334
NM_001179709.1	598	292	263	819	377	321	422	186	233	746	459	232	584	303	266	310	165	179
NM_001179710.1	201	113	72	294	147	126	164	67	118	291	215	70	301	122	102	147	73	62
NM_001179711.1	2251	989	965	2832	1104	1193	1302	471	819	4580	2969	1208	3579	1584	1601	2233	794	1200
NM_001179712.1	454	230	154	518	270	206	242	97	156	616	409	169	547	253	241	285	116	180
NM_001179714.1	259	141	85	326	173	124	173	73	98	290	249	93	281	163	159	155	73	99
NM_001179715.1	101	43	43	92	49	52	66	18	32	134	70	47	115	59	48	59	42	41
NM_001179716.1	303	165	118	369	184	161	193	69	129	594	386	185	574	248	294	290	120	142
NM_001179717.1	141	58	56	209	85	66	116	36	74	210	145	37	153	80	92	101	29	53
NM_001179718.1	48494	26761	20712	56362	27879	24999	30288	12201	17580	57793	41891	16815	51082	25613	25914	29015	11301	14406
NM_001179720.1	257	158	95	275	164	129	176	66	109	296	202	79	256	134	121	151	49	73
NM_001179721.1	162	76	50	158	81	70	86	35	57	246	116	56	214	91	87	113	46	48
NM_001179722.1	3649	2242	1348	4031	2318	1567	2158	858	1161	3293	2788	963	3659	1990	1563	1872	802	1005
NM_001179723.2	2173	1145	823	2832	1224	1108	1387	549	793	1889	1293	499	1747	854	798	946	373	494
NM_001179725.1	47	30	37	88	47	56	36	14	38	89	54	22	86	39	33	50	20	23
NM_001179726.1	470	211	182	553	211	219	314	119	156	753	408	153	622	273	241	338	109	188
NM_001179727.1	6	1	2	2	0	1	6	0	0	25	19	12	24	16	18	13	5	3
NM_001179728.1	31	12	13	41	22	14	18	9	13	43	23	12	38	16	21	34	5	15
NM_001179729.1	1090	467	376	1283	600	473	575	189	333	1061	656	249	855	321	298	550	230	234
NM_001179730.1	7683	3678	3513	9665	4572	4587	4212	1797	2503	8421	5650	2664	6907	3195	3729	4250	1805	2121
NM_001179731.1	629	336	250	965	445	357	448	165	262	928	548	233	735	359	312	404	156	197
NM_001179732.1	284	132	105	337	153	141	220	53	107	424	255	96	321	147	151	178	62	93
NM_001179733.1	160	79	76	197	103	76	119	42	56	247	172	80	230	126	113	125	62	55
NM_001179734.1	116	61	54	154	57	55	82	25	51	170	112	47	147	72	80	94	40	46
NM_001179736.1	187	100	68	221	87	89	124	46	57	193	152	68	166	77	89	113	52	61
NM_001179737.1	62	21	23	84	22	21	35	11	36	75	86	22	68	37	35	33	8	21
NM_001179738.1	1398	748	667	1795	852	949	938	351	549	1873	1171	543	1611	757	829	782	329	442
NM_001179739.1	296	167	114	417	193	186	213	76	108	433	293	109	375	184	160	202	83	94
NM_001179740.1	271	111	121	384	153	132	196	88	98	393	235	95	320	146	115	180	73	108
NM_001179741.1	686	289	249	759	342	294	415	140	232	848	494	218	809	326	304	468	176	233
NM_001179742.1	105	62	51	113	57	55	78	31	33	140	79	32	102	74	59	65	23	33
NM_001179744.1	10	17	3	22	15	13	16	3	5	11	16	3	12	9	5	12	8	5
NM_001179745.1	328	164	165	485	197	204	210	79	121	490	324	125	365	192	204	182	76	122
NM_001179746.1	18366	9558	7529	22352	10616	9529	11161	4331	5985	20058	15441	5691	18451	9493	8801	10243	4094	5112
NM_001179747.1	1819	939	688	2157	937	858	1238	460	684	2138	1528	552	1901	956	924	1184	431	532
NM_001179748.1	20985	11076	8221	25608	12298	10449	13074	5021	7202	23936	16574	6593	19844	9293	8881	12563	4935	6010
NM_001179749.1	188	99	77	234	111	96	113	43	69	239	172	89	263	125	120	146	58	67
NM_001179750.1	1158	642	479	1490	736	636	726	316	408	1735	1276	506	1587	743	708	837	351	408
NM_001179751.1	705	293	235	836	333	363	392	98	230	905	467	228	815	273	276	420	136	218
NM_001179752.1	260	149	101	312	142	124	168	64	112	426	286	116	391	215	169	181	80	117
NM_001179753.1	7	12	2	3	3	3	3	3	0	7	6	3	6	1	1	1	2	0
NM_001179754.1	5	4	2	8	11	5	5	10	3	8	17	8	7	10	6	6	4	4
NM_001179755.1	100	48	47	106	51	58	65	27	42	162	83	43	160	68	74	77	25	33
NM_001179756.1	402	169	149	438	195	180	261	105	137	527	392	156	468	241	230	251	110	131
NM_001179757.1	606	314	225	704	331	265	374	131	178	750	596	225	748	348	311	454	163	209
NM_001179758.1	1375	719	538	1481	837	636	777	319	405	1565	1262	504	1523	884	801	775	381	431
NM_001179759.1	228	143	85	350	148	134	166	90	70	351	220	85	314	150	142	166	76	80
NM_001179760.1	95	32	29	117	60	29	59	22	39	93	70	27	84	48	52	66	23	30
NM_001179761.1	556	260	202	713	330	291	367	164	230	798	541	183	663	286	294	474	192	198
NM_001179762.1	892	470	389	1197	545	526	605	248	344	1461	1034	380	1193	618	579	671	271	339
NM_001179763.1	200	84	66	220	105	84	137	43	68	310	178	66	208	103	111	126	47	66
NM_001179764.2	101	80	45	128	66	61	77	30	41	100	78	40	87	57	50	60	24	38
NM_001179766.1	39	34	17	84	40	34	39	13	17	64	58	20	59	23	24	44	15	20
NM_001179768.1	398	181	131	483	215	170	264	87	136	525	318	127	430	211	187	267	87	112
NM_001179769.1	810	370	291	1036	419	427	442	184	280	1119	632	288	925	391	401	490	197	265
NM_001179770.1	544	336	199	768	345	322	404	156	204	787	594	240	718	353	317	400	162	200
NM_001179771.1	201	112	92	272	114	90	155	64	99	401	276	92	344	141	147	185	70	92
NM_001179772.1	661	315	250	778	322	315	442	141	238	916	596	232	780	318	336	459	154	246
NM_001179773.1	60	31	31	85	32	25	39	22	27	78	67	34	97	46	36	43	18	12
NM_001179774.1	1220	619	431	1595	731	667	871	356	492	1648	1041	476	1330	651	609	822	293	416
NM_001179775.1	6947	3593	2852	8904	4153	3668	4476	1743	2525	12967	9358	3615	11201	5514	5130	6345	2586	3220
NM_001179776.1	840	470	341	1127	557	408	556	235	306	992	725	315	919	473	480	545	204	295
NM_001179777.1	2236	1220	845	2791	1344	1178	1467	550	751	2435	1730	777	2312	1102	1080	1224	512	614
NM_001179778.1	497	246	208	644	305	306	346	138	158	800	501	190	710	250	277	355	145	215
NM_001179779.1	255	154	132	383	162	160	177	77	88	398	253	101	367	162	170	193	80	106
NM_001179780.1	655	309	288	805	379	339	444	173	253	833	522	198	627	288	285	357	164	174
NM_001179781.1	4417	2437	1878	4874	2426	2211	2498	1053	1432	3124	2230	985	2894	1501	1438	1580	638	796
NM_001179782.1	2	7	1	8	5	13	2	4	4	8	10	3	7	5	7	6	1	3
NM_001179783.1	62	46	24	82	27	33	63	19	24	94	72	23	78	37	39	46	24	19
NM_001179784.1	133	69	56	149	101	69	107	28	50	180	138	70	170	92	97	100	43	60
NM_001179785.1	91	45	34	64	36	22	26	9	13	84	50	20	44	14	20	19	4	12
NM_001179786.2	0	0	1	2	0	0	0	0	0	7	1	0	1	1	0	0	0	2
NM_001179787.1	18	5	13	17	4	4	8	9	6	13	8	2	12	4	6	7	3	3
NM_001179789.1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0
NM_001179791.1	2911	1598	1094	3690	1809	1552	1852	738	1023	3448	2485	923	2751	1389	1248	1643	618	777
NM_001179792.3	317	150	145	403	212	188	209	68	137	483	320	117	392	238	219	247	79	129
NM_001179793.1	338	177	155	423	221	215	250	88	135	376	232	98	317	183	148	213	76	87
NM_001179794.3	38	32	16	71	33	31	27	20	21	45	29	18	49	33	17	28	12	14
NM_001179795.1	4	4	4	6	5	1	7	2	2	1	4	1	3	3	1	3	0	0
NM_001179796.3	282	143	160	350	195	157	186	76	88	462	298	122	410	137	174	216	87	114
NM_001179797.1	90	39	42	133	60	51	73	24	48	144	72	40	118	54	69	71	28	35
NM_001179798.4	525	267	229	729	315	304	365	128	212	796	485	205	706	273	287	332	150	155
NM_001179799.1	17	18	7	30	34	24	17	13	16	36	45	28	22	20	22	20	13	14
NM_001179800.3	189	66	74	223	82	97	99	43	58	236	141	60	186	69	79	111	38	45
NM_001179801.1	260	120	112	317	160	133	174	56	91	376	266	111	333	167	171	159	51	68
NM_001179803.3	1549	985	578	2081	1094	812	928	372	456	1949	1580	565	1926	1011	899	1042	370	506
NM_001179804.1	538	257	238	733	294	276	408	163	197	643	438	149	588	261	257	278	111	143
NM_001179805.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
NM_001179806.1	265	151	104	363	178	135	153	61	96	255	177	58	227	98	118	125	48	66
NM_001179807.3	40	19	12	52	32	26	44	15	17	65	34	23	53	32	23	33	10	15
NM_001179808.1	869	462	415	1065	476	473	573	192	338	1695	1150	470	1395	609	627	891	307	464
NM_001179809.3	92	48	36	112	58	54	55	21	34	121	74	33	141	49	57	61	27	28
NM_001179810.1	100	46	41	112	71	49	59	32	40	132	104	44	122	52	64	70	30	40
NM_001179811.4	126	86	41	165	88	67	64	36	26	186	116	53	137	70	64	95	37	48
NM_001179812.1	61	42	31	80	35	46	39	14	27	109	44	21	87	33	45	44	11	22
NM_001179813.3	147	93	73	204	89	99	110	37	59	226	141	65	168	84	82	111	39	49
NM_001179814.1	421	205	183	561	260	265	315	129	168	631	417	161	606	282	226	315	123	174
NM_001179815.3	410	213	187	519	237	236	227	104	154	614	438	168	557	258	266	285	125	120
NM_001179816.1	473	266	188	624	285	233	328	132	180	523	405	173	491	256	227	281	115	139
NM_001179817.3	123	81	38	150	63	69	106	33	66	225	129	48	170	85	94	84	31	55
NM_001179818.2	475	230	184	561	231	249	262	98	173	616	444	165	567	251	211	322	114	128
NM_001179819.3	307	120	111	367	156	163	142	53	100	415	228	105	329	114	126	186	66	82
NM_001179820.1	184	96	84	241	120	100	128	48	97	332	206	99	294	136	129	176	69	80
NM_001179821.3	270	129	108	310	136	135	177	77	107	371	211	90	346	135	134	169	79	89
NM_001179824.1	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	0
NM_001179826.2	90	57	35	107	61	51	62	28	32	150	78	48	137	60	50	76	26	35
NM_001179827.3	97	67	38	109	61	32	71	21	33	123	64	24	93	51	50	63	20	32
NM_001179828.1	367	201	138	465	200	189	214	91	133	504	340	134	469	202	214	250	84	113
NM_001179829.3	98	53	33	95	45	31	46	18	41	96	91	32	93	48	61	56	30	36
NM_001179831.1	11	5	7	8	10	5	6	6	9	17	17	7	20	10	5	9	5	3
NM_001179832.3	9460	5663	4364	11714	6305	5294	5398	2452	3036	9616	8032	3231	9224	4859	4432	5591	2479	2715
NM_001179833.1	1549	745	632	1777	829	724	923	345	551	1959	1372	558	1928	878	841	973	418	472
NM_001179834.3	67	29	24	84	35	28	32	14	24	65	37	16	60	33	31	38	12	20
NM_001179835.1	114	43	29	131	46	52	48	20	22	97	68	18	83	29	34	42	25	21
NM_001179836.3	123	85	43	115	80	44	80	33	45	172	140	47	158	102	80	113	30	48
NM_001179838.1	1403	907	583	1818	989	693	868	368	474	2238	2140	762	2107	1242	1061	1215	529	608
NM_001179839.3	65	44	28	82	46	19	49	18	31	104	69	23	86	55	47	58	16	34
NM_001179840.1	7	4	4	5	2	6	8	5	0	10	0	6	8	1	5	7	2	2
NM_001179841.3	34	19	23	59	21	29	43	10	18	74	54	19	84	27	21	36	16	15
NM_001179842.1	243	97	78	258	127	134	127	42	77	465	270	92	383	158	152	222	68	103
NM_001179843.3	6	4	6	9	4	4	5	4	1	3	2	2	6	5	5	1	3	2
NM_001179844.1	201	120	91	259	133	93	177	34	87	313	181	90	243	87	117	155	52	66
NM_001179845.3	140	54	47	149	75	61	99	23	49	155	104	31	138	43	53	91	29	30
NM_001179846.1	841	394	324	944	440	407	494	195	353	1170	795	343	1115	511	479	560	218	333
NM_001179847.3	7161	3525	2646	7079	3338	3009	3265	1162	1793	6275	4468	1592	6153	2793	2779	3033	1122	1467
NM_001179848.1	13	7	5	17	5	8	3	2	3	27	5	4	16	6	9	8	1	3
NM_001179849.3	24024	13477	9237	28788	14012	11353	14405	5829	7973	25743	21177	7247	24669	12785	11066	13636	5604	6843
NM_001179850.1	248	113	127	316	150	168	169	50	96	293	160	85	300	126	124	120	45	73
NM_001179851.3	17	4	3	30	14	7	9	3	12	13	13	10	17	13	12	12	7	5
NM_001179852.1	403	185	167	535	238	209	255	90	180	655	433	143	473	233	241	268	103	126
NM_001179853.3	104	52	43	147	56	68	63	18	46	131	83	51	121	62	73	59	20	38
NM_001179854.1	105	42	37	110	47	36	72	27	38	129	74	50	125	63	55	50	20	28
NM_001179855.3	617	303	241	772	354	276	373	125	200	604	375	176	563	262	225	289	122	142
NM_001179856.1	571	320	241	750	368	355	347	170	216	893	655	236	791	419	383	530	209	248
NM_001179857.3	314	169	126	397	191	180	214	84	128	498	328	131	427	194	194	225	93	149
NM_001179858.1	224	119	104	299	140	135	208	42	108	489	272	114	346	141	147	217	65	103
NM_001179859.3	22	15	8	32	12	10	10	3	12	39	27	11	23	15	10	17	8	7
NM_001179860.1	340	185	154	449	199	236	287	93	168	533	364	153	489	228	218	291	113	178
NM_001179861.3	949	513	359	1170	565	569	625	237	336	1495	964	420	1318	593	549	697	234	323
NM_001179862.1	467	242	176	603	287	292	281	118	165	734	411	191	523	256	242	356	149	170
NM_001179864.3	390	306	209	487	258	276	244	102	157	454	332	153	512	246	276	245	98	101
NM_001179865.1	49	24	33	61	34	40	44	11	15	78	72	21	89	50	35	51	28	24
NM_001179866.3	27	29	39	67	31	23	44	13	23	83	71	27	78	32	41	48	36	38
NM_001179867.1	172	113	90	231	122	95	101	34	61	241	164	66	237	100	96	129	63	59
NM_001179868.3	82	46	33	91	53	51	36	19	29	106	70	28	85	39	31	42	18	31
NM_001179869.1	242	113	88	296	131	112	174	53	80	324	208	83	269	137	93	156	43	84
NM_001179870.3	541	294	182	568	333	257	296	97	156	753	682	236	790	411	381	356	145	184
NM_001179871.1	1205	586	477	1425	646	557	833	286	493	1494	973	402	1369	615	579	787	261	399
NM_001179872.3	811	370	279	995	426	388	571	184	325	1111	760	289	1106	490	465	558	232	304
NM_001179873.1	65	37	27	94	37	47	31	22	34	108	55	41	95	40	71	37	24	23
NM_001179874.3	699	368	279	836	380	340	555	174	296	1075	748	316	1066	467	435	499	205	289
NM_001179875.1	261	113	94	321	142	119	162	73	96	354	238	101	319	140	135	220	78	114
NM_001179876.3	143	86	73	183	97	57	77	39	46	214	151	47	191	106	109	142	46	54
NM_001179877.1	168	80	71	241	87	86	110	38	66	291	156	62	243	98	93	116	30	48
NM_001179878.3	279	174	119	409	195	161	221	74	120	385	245	108	364	190	165	251	73	105
NM_001179879.1	223	97	76	287	120	139	197	79	79	332	197	97	295	172	117	148	55	74
NM_001179880.4	338	158	119	437	199	171	179	57	95	431	253	109	323	151	153	200	56	108
NM_001179881.1	48	19	13	46	25	28	22	6	8	88	44	18	50	28	20	23	10	16
NM_001179882.3	2271	1595	909	2963	1637	1262	1222	586	628	3225	2695	835	2830	1521	1189	1583	711	659
NM_001179883.1	1776	1103	749	2774	1464	1148	1271	497	687	2763	2060	755	2493	1249	1205	1472	598	673
NM_001179884.3	19162	9287	8281	21769	10019	9829	9044	3508	5995	20674	13868	6722	19290	8862	10552	7946	3036	4643
NM_001179885.1	692	335	296	872	415	385	517	190	313	638	402	159	466	220	214	219	89	116
NM_001179886.1	226	120	68	254	140	143	129	59	79	277	168	72	228	98	89	109	56	61
NM_001179887.3	5	4	4	3	7	3	5	4	8	7	7	7	7	8	8	5	4	1
NM_001179888.1	32	5	8	32	21	18	28	6	7	28	18	1	31	9	12	19	8	7
NM_001179889.3	206	105	69	236	97	101	136	53	60	207	122	62	158	91	76	113	36	52
NM_001179890.1	148	90	65	201	100	81	93	40	58	212	151	43	209	87	75	120	44	46
NM_001179891.3	60	32	25	81	37	39	46	16	31	77	45	26	68	32	36	35	17	26
NM_001179892.1	0	4	2	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0
NM_001179893.3	3	3	2	0	0	0	1	0	3	2	0	1	2	0	0	3	0	2
NM_001179894.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179895.3	0	0	3	2	0	1	2	0	0	1	3	0	2	0	3	2	1	1
NM_001179896.1	3	6	0	10	3	4	5	1	1	23	11	6	8	8	7	18	2	6
NM_001179897.1	1	4	1	1	2	1	0	2	0	1	1	0	0	0	0	0	1	0
NM_001179899.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179901.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179902.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179903.1	2	0	0	2	2	0	1	0	0	2	0	0	0	0	0	1	0	1
NM_001179905.1	195	84	79	271	123	85	129	24	69	266	193	58	235	114	110	134	42	51
NM_001179906.1	0	0	1	1	2	0	0	1	0	8	0	3	6	2	1	1	1	0
NM_001179907.1	24	7	21	13	13	14	1	4	6	24	10	15	17	13	11	8	2	4
NM_001179908.1	40	15	10	50	30	26	23	21	11	53	51	18	59	39	24	44	23	17
NM_001179909.1	3	4	1	2	3	2	3	3	5	8	6	3	10	9	11	5	1	6
NM_001179912.1	8	1	0	11	7	4	11	2	2	10	7	2	7	6	4	7	3	3
NM_001179913.1	31	23	4	46	17	16	17	6	15	38	30	2	25	17	13	15	8	12
NM_001179914.1	2	0	0	2	0	0	0	0	0	3	0	1	1	1	0	2	2	0
NM_001179915.1	3	1	1	3	0	1	1	0	3	10	4	1	2	3	4	1	0	1
NM_001179916.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179917.1	10	7	4	7	1	1	0	3	2	3	6	6	7	3	7	2	3	0
NM_001179918.1	196	114	87	227	154	136	129	49	63	329	202	99	275	128	130	137	70	81
NM_001179919.1	911	408	387	1203	517	486	522	185	318	1468	886	366	1243	543	619	646	237	356
NM_001179920.1	176	95	94	284	131	108	187	58	98	341	207	83	261	141	135	173	54	91
NM_001179921.1	103	53	54	151	63	42	83	28	51	141	97	34	155	50	60	72	22	25
NM_001179922.1	4985	2297	1931	6038	2649	2434	2777	1111	1747	4561	3251	1273	4220	1869	2005	2029	811	1052
NM_001179923.1	230	132	78	231	135	122	155	86	84	371	311	131	330	181	173	191	81	114
NM_001179924.1	208	93	68	192	112	75	112	48	65	247	148	95	195	101	112	144	57	77
NM_001179925.1	693	356	280	880	410	328	354	142	256	1055	723	297	994	448	409	599	218	276
NM_001179926.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001179927.1	20741	11764	8582	24600	12894	10310	13075	5598	7421	20742	16795	6728	19706	10656	10067	11687	5160	5810
NM_001179928.1	1861	1036	805	2199	1130	885	1165	461	697	2233	1845	683	2227	1126	1032	1207	508	690
NM_001179929.1	2859	1421	1252	3415	1607	1254	1884	737	1049	3052	2174	830	2671	1384	1326	1641	687	838
NM_001179930.1	387	208	176	576	278	233	271	106	156	639	387	141	563	267	229	329	120	171
NM_001179931.1	237	79	77	279	128	114	128	62	76	383	240	101	324	151	148	162	63	80
NM_001179932.2	247	122	124	314	164	137	156	43	79	370	242	96	256	151	139	176	65	78
NM_001179933.1	246	107	84	299	146	128	114	47	73	366	246	69	321	150	144	190	97	117
NM_001179935.1	47	21	28	54	32	24	31	10	21	41	27	15	34	24	20	21	4	17
NM_001179936.1	6	6	10	8	6	4	5	4	5	8	11	4	9	4	4	6	1	5
NM_001179937.1	103	60	52	119	65	35	82	33	41	158	119	58	149	77	87	77	40	42
NM_001179938.1	215	104	103	256	96	114	153	56	84	361	225	90	314	132	154	182	65	104
NM_001179939.1	65	36	32	85	42	41	59	10	30	130	78	36	96	57	38	66	23	31
NM_001179940.2	2137	1188	753	2907	1411	1096	1486	522	823	3458	2420	878	3133	1515	1393	1858	669	824
NM_001179941.1	190	108	49	266	102	111	125	50	65	229	148	63	202	75	85	111	23	51
NM_001179942.1	173	64	66	223	102	94	107	38	86	277	153	67	202	76	93	108	34	59
NM_001179943.1	337	173	171	469	215	235	217	89	135	630	374	182	461	208	208	269	112	141
NM_001179944.2	3384	2010	1403	4195	2153	1858	2256	892	1196	3463	2721	1118	3188	1649	1566	1816	779	897
NM_001179945.1	121	87	55	153	90	79	83	42	48	177	145	52	173	89	82	98	52	56
NM_001179946.1	1	0	0	0	3	1	2	1	2	3	3	0	7	2	1	4	0	0
NM_001179948.1	1691	967	747	2277	1140	977	1221	496	762	2907	2149	777	2495	1226	1212	1348	544	698
NM_001179949.1	181	115	63	248	128	125	158	49	76	237	196	84	189	112	102	140	53	80
NM_001179950.1	418	222	183	574	243	259	325	113	206	759	525	191	681	324	367	382	120	190
NM_001179952.1	74	54	31	48	25	15	25	12	15	184	152	70	185	103	96	116	51	52
NM_001179953.1	332	168	142	400	199	193	181	73	120	459	357	163	378	195	164	214	91	120
NM_001179954.1	0	0	2	6	1	1	2	2	1	5	3	0	3	2	4	1	0	1
NM_001179955.1	1	1	1	0	0	1	3	2	0	3	2	1	2	2	1	1	0	0
NM_001179956.1	1765	758	675	2059	868	828	1150	420	621	1599	947	407	1513	608	589	908	357	396
NM_001179957.1	456	282	139	637	298	285	290	113	140	664	449	176	476	257	244	339	130	168
NM_001179958.1	450	212	184	627	283	295	295	102	159	618	394	186	433	218	231	247	99	121
NM_001179959.1	963	557	444	1384	611	537	761	306	418	1404	920	362	1259	614	547	717	301	362
NM_001179961.1	1001	543	400	1354	668	557	705	254	387	1572	1208	487	1443	723	697	747	335	396
NM_001179962.1	2202	1096	828	2764	1231	1259	1492	543	817	2571	1818	674	2211	952	963	1026	428	560
NM_001179963.1	7	5	7	8	3	4	5	3	2	5	4	2	10	7	11	3	4	4
NM_001179964.1	309	174	127	380	167	153	195	77	141	369	291	106	331	166	149	191	66	111
NM_001179965.1	202	92	95	268	115	94	133	62	77	275	181	66	270	127	131	122	59	66
NM_001179966.1	379	174	187	514	230	274	285	117	156	439	263	136	382	153	186	166	64	104
NM_001179967.1	688	315	266	858	408	377	425	162	233	1120	654	265	887	380	473	518	171	268
NM_001179968.1	187	98	87	216	105	79	130	56	76	343	185	82	279	128	136	173	75	83
NM_001179969.1	882	495	389	1183	585	484	682	285	332	1804	1360	596	1575	902	833	911	426	482
NM_001179970.1	237	108	80	256	113	121	124	50	74	308	204	84	303	133	104	152	69	66
NM_001179971.1	846	410	393	1238	548	621	586	249	373	1654	1218	456	1469	702	682	851	332	376
NM_001179972.1	76	29	35	92	47	38	64	18	23	114	91	33	109	47	45	64	28	36
NM_001179973.1	68	35	22	95	39	40	32	18	18	105	72	19	82	41	40	45	10	30
NM_001179974.1	1819	938	803	2224	985	877	1253	526	688	2793	2037	793	2618	1159	1146	1512	587	703
NM_001179975.1	1132	602	484	1521	670	673	780	310	454	2172	1383	609	1888	753	856	1003	403	489
NM_001179976.1	193	87	65	234	136	89	152	64	93	383	246	116	340	141	136	142	83	96
NM_001179977.1	4	1	1	3	1	1	0	1	3	4	0	2	1	3	3	2	0	2
NM_001179978.1	299	154	134	383	169	198	210	86	127	383	257	112	324	151	175	214	74	107
NM_001179979.2	156	46	56	186	113	99	108	26	59	246	186	81	249	123	119	126	48	59
NM_001179980.1	67	46	29	100	60	46	43	22	20	102	84	33	101	50	44	50	21	28
NM_001179981.1	473	251	196	692	323	313	245	116	138	661	469	180	506	215	199	289	122	119
NM_001179982.1	24	12	6	25	9	6	7	1	4	26	23	8	29	13	8	11	7	5
NM_001179983.1	147	87	67	215	84	79	120	28	70	202	118	59	216	91	60	106	62	45
NM_001179984.2	308	140	92	352	198	165	169	64	102	362	248	112	314	140	134	211	84	92
NM_001179986.1	166	117	78	220	122	92	145	39	54	217	222	71	208	111	118	133	44	62
NM_001179987.3	19	12	4	20	13	11	12	3	10	20	15	3	21	14	5	10	1	7
NM_001179988.1	4	2	2	4	1	5	2	1	0	5	1	1	5	2	3	1	2	2
NM_001179990.1	130	94	94	190	111	92	136	48	69	224	170	56	226	90	105	122	52	75
NM_001179991.3	1	0	0	1	0	0	1	0	1	0	1	1	2	0	2	0	0	0
NM_001179992.1	54	22	18	70	32	30	40	15	36	83	63	21	90	39	29	45	16	22
NM_001179993.3	383	200	158	527	258	233	313	119	191	494	384	133	520	218	234	279	109	134
NM_001179994.1	95	44	50	134	40	33	63	13	39	119	75	30	116	55	59	76	32	41
NM_001179995.3	282	154	97	354	184	140	190	73	103	295	256	76	256	132	101	205	55	81
NM_001179996.2	131	72	46	196	113	63	101	51	47	186	164	47	146	89	64	82	30	39
NM_001179997.1	1	1	2	3	0	1	2	0	0	10	7	2	11	2	4	5	2	4
NM_001179998.3	105	64	51	179	91	100	60	32	65	181	124	65	176	97	88	79	33	52
NM_001179999.1	356	227	176	483	243	176	217	101	101	391	298	114	347	180	147	201	91	117
NM_001180000.3	0	0	2	3	0	0	1	0	1	0	1	1	2	0	0	1	0	1
NM_001180001.1	79	52	53	102	76	46	54	36	36	78	80	50	76	51	39	55	25	23
NM_001180002.3	1066	509	426	1345	616	551	660	249	336	1261	963	347	1132	533	480	615	272	293
NM_001180003.1	268	109	107	343	154	152	158	62	83	352	229	113	290	158	150	169	66	83
NM_001180004.3	196	117	74	253	120	86	126	35	71	221	152	57	177	102	88	112	56	67
NM_001180005.2	331	171	133	393	185	161	276	82	144	447	328	135	414	166	186	233	91	131
NM_001180006.3	212	95	78	290	135	97	172	79	109	224	124	62	184	99	64	128	53	46
NM_001180007.1	142	55	61	185	58	50	105	34	57	197	129	57	197	101	96	109	32	53
NM_001180008.3	87	51	26	109	38	42	35	12	24	90	60	33	95	28	44	39	20	18
NM_001180009.1	3034	1658	1271	3755	1874	1533	2131	850	1148	4864	3536	1368	4153	2032	2025	2593	1046	1274
NM_001180010.3	59	27	14	88	49	20	40	20	23	86	64	19	67	26	30	38	13	18
NM_001180011.1	43	25	16	69	40	25	26	12	25	78	42	16	49	17	33	25	12	17
