chromosome	gene_id	transcript_id	start	end	utr5_length	cds_length	utr3_length	strand	rep_transcript	modified
NC_001136.10	YDR243C	NM_001180551.3	948487	950314	30	1767	30	-	True	True
NC_001136.10	YDR244W	NM_001180552.1	950532	952431	30	1839	30	+	True	True
NC_001136.10	YDR245W	NM_001180553.1	952769	954011	30	1182	30	+	True	True
NC_001136.10	YDR246W	NM_001180554.3	954257	954977	30	660	30	+	True	True
NC_001136.10	YDR246W-A	NM_001184547.3	955102	955363	30	201	30	+	True	True
NC_001136.10	YDR247W	NM_001180555.1	955982	957428	30	1386	30	+	True	True
NC_001136.10	YDR248C	NM_001180556.1	957727	958369	30	582	30	-	True	True
NC_001136.10	YDR249C	NM_001180557.3	958650	959832	30	1122	30	-	True	True
NC_001136.10	YDR251W	NM_001180559.3	960583	963136	30	2493	30	+	True	True
NC_001136.10	YDR252W	NM_001180560.1	963381	963891	30	450	30	+	True	True
NC_001136.10	YDR253C	NM_001180561.1	963959	964595	30	576	30	-	True	True
NC_001136.10	YDR254W	NM_001180562.3	965082	966519	30	1377	30	+	True	True
NC_001136.10	YDR255C	NM_001180563.3	966526	967852	30	1266	30	-	True	True
NC_001136.10	YDR256C	NM_001180564.1	968102	969710	30	1548	30	-	True	True
NC_001136.10	YDR257C	NM_001180565.1	969959	971504	30	1485	30	-	True	True
NC_001136.10	YDR258C	NM_001180566.3	971777	974273	30	2436	30	-	True	True
NC_001136.10	YDR259C	NM_001180567.3	974600	975812	30	1152	30	-	True	True
NC_001136.10	YDR260C	NM_001180568.1	976686	977259	30	513	30	-	True	True
NC_001136.10	YDR261C	NM_001180569.1	977490	979239	30	1689	30	-	True	True
NC_001136.10	YDR261W-A	NM_001184422.3	981431	982808	30	1317	30	+	True	True
NC_001136.10	YDR261W-B	NM_001184423.4	981431	986805	30	5313	30	+	True	True
NC_001136.10	YDR261C-D	NM_001184421.2	987503	992379	30	4815	30	-	True	True
NC_001136.10	YDR261C-C	NM_001184420.1	990996	992379	30	1323	30	-	True	True
NC_001136.10	YDR262W	NM_001180570.3	993103	993982	30	819	30	+	True	True
NC_001136.10	YDR263C	NM_001180571.3	994211	995564	30	1293	30	-	True	True
NC_001136.10	YDR264C	NM_001180572.1	995998	998353	30	2295	30	-	True	True
NC_001136.10	YDR265W	NM_001180573.1	998833	999907	30	1014	30	+	True	True
NC_001136.10	YDR266C	NM_001180574.3	1000073	1002053	30	1920	30	-	True	True
NC_001136.10	YDR267C	NM_001180575.3	1002479	1003532	30	993	30	-	True	True
NC_001136.10	YDR268W	NM_001180576.1	1003973	1005173	30	1140	30	+	True	True
NC_001136.10	YDR270W	NM_001180578.1	1005644	1008719	30	3015	30	+	True	True
NC_001136.10	YDR272W	NM_001180580.3	1008979	1009864	30	825	30	+	True	True
NC_001136.10	YDR273W	NM_001180581.3	1010145	1011303	30	1098	30	+	True	True
NC_001136.10	YDR274C	NM_001348815.1	1011558	1011990	30	372	30	-	True	True
NC_001136.10	YDR275W	NM_001180583.1	1012221	1012989	30	708	30	+	True	True
NC_001136.10	YDR276C	NM_001180584.1	1013445	1013673	30	168	30	-	True	True
NC_001136.10	YDR277C	NM_001180585.3	1014370	1015732	30	1302	30	-	True	True
NC_001136.10	YDR279W	NM_001180587.3	1019337	1020450	30	1053	30	+	True	True
NC_001136.10	YDR280W	NM_001180588.1	1020716	1021694	30	918	30	+	True	True
NC_001136.10	YDR281C	NM_001180589.1	1021976	1022351	30	315	30	-	True	True
NC_001136.10	YDR282C	NM_001180590.3	1023480	1024785	30	1245	30	-	True	True
NC_001136.10	YDR283C	NM_001180591.3	1025039	1030079	30	4980	30	-	True	True
NC_001136.10	YDR284C	NM_001180592.1	1030519	1031449	30	870	30	-	True	True
NC_001136.10	YDR285W	NM_001180593.1	1032405	1035093	30	2628	30	+	True	True
NC_001136.10	YDR286C	NM_001180594.3	1035200	1035605	30	345	30	-	True	True
NC_001136.10	YDR287W	NM_001180595.3	1035964	1036903	30	879	30	+	True	True
NC_001136.10	YDR288W	NM_001180596.1	1037164	1038136	30	912	30	+	True	True
NC_001136.10	YDR289C	NM_001180597.1	1038249	1039539	30	1230	30	-	True	True
NC_001136.10	YDR291W	NM_001180599.3	1039697	1042991	30	3234	30	+	True	True
NC_001136.10	YDR292C	NM_001180600.3	1043115	1045041	30	1866	30	-	True	True
NC_001136.10	YDR293C	NM_001180601.1	1045609	1049422	30	3753	30	-	True	True
NC_001136.10	YDR294C	NM_001180602.1	1050428	1052258	30	1770	30	-	True	True
NC_001136.10	YDR295C	NM_001180603.3	1052592	1054677	30	2025	30	-	True	True
NC_001136.10	YDR296W	NM_001180604.3	1055181	1055922	30	681	30	+	True	True
NC_001136.10	YDR297W	NM_001180605.1	1056520	1057630	30	1050	30	+	True	True
NC_001136.10	YDR298C	NM_001180606.1	1058145	1058844	30	639	30	-	True	True
NC_001136.10	YDR299W	NM_001180607.3	1059596	1061261	30	1605	30	+	True	True
NC_001136.10	YDR300C	NM_001180608.3	1061474	1062821	30	1287	30	-	True	True
NC_001136.10	YDR301W	NM_001180609.1	1063321	1067455	30	4074	30	+	True	True
NC_001136.10	YDR302W	NM_001180610.1	1067700	1068420	30	660	30	+	True	True
NC_001136.10	YDR303C	NM_001180611.3	1068698	1071416	30	2658	30	-	True	True
NC_001136.10	YDR304C	NM_001180612.3	1071849	1072587	30	678	30	-	True	True
NC_001136.10	YDR305C	NM_001180613.1	1072715	1073518	30	654	30	-	True	True
NC_001136.10	YDR306C	NM_001180614.1	1073704	1075201	30	1437	30	-	True	True
NC_001136.10	YDR307W	NM_001180615.3	1075834	1077883	30	1989	30	+	True	True
NC_001136.10	YDR308C	NM_001180616.3	1077996	1078479	30	423	30	-	True	True
NC_001136.10	YDR309C	NM_001180617.1	1079017	1080229	30	1152	30	-	True	True
NC_001136.10	YDR310C	NM_001180618.1	1081097	1084346	30	3189	30	-	True	True
NC_001136.10	YDR311W	NM_001180619.3	1085034	1087023	30	1929	30	+	True	True
NC_001136.10	YDR312W	NM_001180620.3	1087550	1088972	30	1362	30	+	True	True
NC_001136.10	YDR313C	NM_001180621.1	1089188	1090109	30	861	30	-	True	True
NC_001136.10	YDR314C	NM_001180622.1	1090402	1092541	30	2079	30	-	True	True
NC_001136.10	YDR315C	NM_001180623.3	1092710	1093616	30	846	30	-	True	True
NC_001136.10	YDR316W	NM_001180624.3	1093732	1095208	30	1416	30	+	True	True
NC_001136.10	YDR316W-A	NM_001184424.1	1096033	1097416	30	1323	30	+	True	True
NC_001136.10	YDR316W-B	NM_001184425.2	1096033	1101362	30	5268	30	+	True	True
NC_001136.10	YDR317W	NM_001180625.3	1102153	1103458	30	1245	30	+	True	True
NC_001136.10	YDR318W	NM_001180626.3	1103727	1104977	30	1107	30	+	True	True
NC_001136.10	YDR319C	NM_001180627.1	1104972	1105857	30	825	30	-	True	True
NC_001136.10	YDR320C	NM_001180628.1	1106064	1108131	30	2007	30	-	True	True
NC_001136.10	YDR320C-A	NM_001184470.3	1108249	1108528	30	219	30	-	True	True
NC_001136.10	YDR321W	NM_001180629.3	1108671	1109877	30	1146	30	+	True	True
NC_001136.10	YDR322W	NM_001180630.1	1110558	1111722	30	1104	30	+	True	True
NC_001136.10	YDR322C-A	NM_001184348.1	1111972	1112323	30	291	30	-	True	True
NC_001136.10	YDR323C	NM_001180631.3	1112449	1114057	30	1548	30	-	True	True
NC_001136.10	YDR324C	NM_001180632.3	1114402	1116793	30	2331	30	-	True	True
NC_001136.10	YDR325W	NM_001180633.1	1117095	1120263	30	3108	30	+	True	True
NC_001136.10	YDR326C	NM_001180634.1	1120578	1124955	30	4317	30	-	True	True
NC_001136.10	YDR328C	NM_001180636.3	1125403	1126048	30	585	30	-	True	True
NC_001136.10	YDR329C	NM_001180637.3	1126239	1127625	30	1326	30	-	True	True
NC_001136.10	YDR330W	NM_001180638.1	1127841	1129404	30	1503	30	+	True	True
NC_001136.10	YDR331W	NM_001180639.1	1129557	1130853	30	1236	30	+	True	True
NC_001136.10	YDR332W	NM_001180640.3	1130970	1133100	30	2070	30	+	True	True
NC_001136.10	YDR333C	NM_001180641.3	1133229	1135461	30	2172	30	-	True	True
NC_001136.10	YDR334W	NM_001180642.1	1135901	1140506	30	4545	30	+	True	True
NC_001136.10	YDR335W	NM_001180643.1	1141137	1144872	30	3675	30	+	True	True
NC_001136.10	YDR336W	NM_001180644.3	1145061	1146066	30	945	30	+	True	True
NC_001136.10	YDR337W	NM_001180645.3	1146288	1147209	30	861	30	+	True	True
NC_001136.10	YDR338C	NM_001180646.1	1147348	1149496	30	2088	30	-	True	True
NC_001136.10	YDR339C	NM_001180647.1	1149920	1150550	30	570	30	-	True	True
NC_001136.10	YDR341C	NM_001180649.3	1151772	1153656	30	1824	30	-	True	True
NC_001136.10	YDR342C	NM_001180650.3	1154185	1155958	30	1713	30	-	True	True
NC_001136.10	YDR343C	NM_001180651.1	1159577	1161350	30	1713	30	-	True	True
NC_001136.10	YDR344C	NM_001348817.1	1161975	1162479	30	444	30	-	True	True
NC_001136.10	YDR345C	NM_001180653.1	1162926	1164690	30	1704	30	-	True	True
NC_001136.10	YDR346C	NM_001180654.3	1167183	1168689	30	1446	30	-	True	True
NC_001136.10	YDR347W	NM_001180655.3	1169147	1170173	30	966	30	+	True	True
NC_001136.10	YDR348C	NM_001180656.1	1170295	1171855	30	1500	30	-	True	True
NC_001136.10	YDR349C	NM_001180657.1	1172355	1174206	30	1791	30	-	True	True
NC_001136.10	YDR350C	NM_001180658.4	1176089	1178204	30	2055	30	-	True	True
NC_001136.10	YDR351W	NM_001180659.3	1178635	1181290	30	2595	30	+	True	True
NC_001136.10	YDR352W	NM_001180660.1	1181770	1182784	30	954	30	+	True	True
NC_001136.10	YDR353W	NM_001180661.1	1183268	1184288	30	960	30	+	True	True
NC_001136.10	YDR354W	NM_001180662.3	1184716	1185919	30	1143	30	+	True	True
NC_001136.10	YDR356W	NM_001180664.3	1186076	1188971	30	2835	30	+	True	True
NC_001136.10	YDR357C	NM_001180665.1	1189168	1189597	30	369	30	-	True	True
NC_001136.10	YDR358W	NM_001180666.1	1190028	1191762	30	1674	30	+	True	True
NC_001136.10	YDR359C	NM_001180667.3	1191905	1194914	30	2949	30	-	True	True
NC_001136.10	YDR361C	NM_001180669.3	1195381	1196293	30	852	30	-	True	True
NC_001136.10	YDR362C	NM_001180670.1	1196648	1198727	30	2019	30	-	True	True
NC_001136.10	YDR363W	NM_001180671.1	1199152	1200583	30	1371	30	+	True	True
NC_001136.10	YDR363W-A	NM_001184328.3	1202097	1202427	30	270	30	+	True	True
NC_001136.10	YDR364C	NM_001180672.3	1202812	1204240	30	1368	30	-	True	True
NC_001136.10	YDR365C	NM_001180673.1	1204466	1206413	30	1887	30	-	True	True
NC_001136.10	YDR365W-A	NM_001184426.3	1206966	1208349	30	1323	30	+	True	True
NC_001136.10	YDR365W-B	NM_001184427.2	1206966	1212295	30	5268	30	+	True	True
NC_001136.10	YDR366C	NM_001180674.3	1212407	1212866	30	399	30	-	True	True
NC_001136.10	YDR367W	NM_001180675.1	1212817	1213644	30	666	30	+	True	True
NC_001136.10	YDR368W	NM_001180676.1	1213873	1214872	30	939	30	+	True	True
NC_001136.10	YDR369C	NM_001180677.3	1214985	1217610	30	2565	30	-	True	True
NC_001136.10	YDR370C	NM_001180678.3	1217751	1219140	30	1329	30	-	True	True
NC_001136.10	YDR371W	NM_001180679.1	1219382	1220978	30	1536	30	+	True	True
NC_001136.10	YDR372C	NM_001180680.1	1221081	1222179	30	1038	30	-	True	True
NC_001136.10	YDR373W	NM_001180681.3	1222728	1223361	30	573	30	+	True	True
NC_001136.10	YDR374C	NM_001180682.3	1223443	1224424	30	921	30	-	True	True
NC_001136.10	YDR374W-A	NM_001184680.1	1224726	1225056	30	270	30	+	True	True
NC_001136.10	YDR375C	NM_001180683.1	1225135	1226566	30	1371	30	-	True	True
NC_001136.10	YDR376W	NM_001180684.3	1226791	1228333	30	1482	30	+	True	True
NC_001136.10	YDR377W	NM_001180685.3	1228580	1228946	30	306	30	+	True	True
NC_001136.10	YDR378C	NM_001180686.1	1229318	1229639	30	261	30	-	True	True
NC_001136.10	YDR379W	NM_001180687.1	1230136	1233226	30	3030	30	+	True	True
NC_001136.10	YDR379C-A	NM_001184471.3	1233247	1233547	30	240	30	-	True	True
NC_001136.10	YDR380W	NM_001180688.3	1234187	1236155	30	1908	30	+	True	True
NC_001136.10	YDR381W	NM_001180689.1	1236527	1238034	30	681	30	+	True	True
NC_001136.10	YDR381C-A	NM_001184511.1	1238281	1238880	30	345	30	-	True	True
NC_001136.10	YDR382W	NM_001180690.3	1239461	1239854	30	333	30	+	True	True
NC_001136.10	YDR383C	NM_001180691.3	1239929	1240706	30	717	30	-	True	True
NC_001136.10	YDR384C	NM_001180692.1	1241173	1242061	30	828	30	-	True	True
NC_001136.10	YDR385W	NM_001180693.1	1243199	1245788	30	2529	30	+	True	True
NC_001136.10	YDR386W	NM_001180694.3	1246053	1248012	30	1899	30	+	True	True
NC_001136.10	YDR387C	NM_001180695.3	1248123	1249851	30	1668	30	-	True	True
NC_001136.10	YDR388W	NM_001180696.1	1250155	1251664	30	1449	30	+	True	True
NC_001136.10	YDR389W	NM_001180697.1	1252506	1254531	30	1965	30	+	True	True
NC_001136.10	YDR390C	NM_001180698.3	1254906	1256877	30	1911	30	-	True	True
NC_001136.10	YDR391C	NM_001180699.3	1257327	1258086	30	699	30	-	True	True
NC_001136.10	YDR392W	NM_001180700.1	1258665	1259739	30	1014	30	+	True	True
NC_001136.10	YDR393W	NM_001180701.1	1259870	1261301	30	1371	30	+	True	True
NC_001136.10	YDR394W	NM_001180702.3	1261650	1262997	30	1287	30	+	True	True
NC_001136.10	YDR395W	NM_001180703.3	1263293	1266188	30	2835	30	+	True	True
NC_001136.10	YDR397C	NM_001180705.1	1266335	1266928	30	441	30	-	True	True
NC_001136.10	YDR398W	NM_001180706.1	1267440	1269432	30	1932	30	+	True	True
NC_001136.10	YDR399W	NM_001180707.3	1270037	1270763	30	666	30	+	True	True
NC_001136.10	YDR400W	NM_001180708.3	1271032	1272115	30	1023	30	+	True	True
NC_001136.10	YDR402C	NM_001180710.1	1272203	1273733	30	1470	30	-	True	True
NC_001136.10	YDR403W	NM_001180711.1	1274571	1276242	30	1611	30	+	True	True
NC_001136.10	YDR404C	NM_001180712.3	1276623	1277199	30	516	30	-	True	True
NC_001136.10	YDR405W	NM_001180713.3	1277615	1278467	30	792	30	+	True	True
NC_001136.10	YDR406W	NM_001180714.1	1279179	1283829	30	4590	30	+	True	True
NC_001136.10	YDR407C	NM_001180715.1	1284038	1287968	30	3870	30	-	True	True
NC_001136.10	YDR408C	NM_001180716.3	1288184	1288889	30	645	30	-	True	True
NC_001136.10	YDR409W	NM_001180717.3	1289375	1292150	30	2715	30	+	True	True
NC_001136.10	YDR410C	NM_001180718.1	1292341	1293121	30	720	30	-	True	True
NC_001136.10	YDR411C	NM_001180719.1	1293338	1294424	30	1026	30	-	True	True
NC_001136.10	YDR412W	NM_001180720.3	1294662	1295430	30	708	30	+	True	True
NC_001136.10	YDR414C	NM_001180722.4	1295567	1296716	30	1089	30	-	True	True
NC_001136.10	YDR415C	NM_001180723.1	1297006	1298191	30	1125	30	-	True	True
NC_001136.10	YDR416W	NM_001180724.1	1298401	1301041	30	2580	30	+	True	True
NC_001136.10	YDR418W	NM_001180726.3	1301585	1302143	30	498	30	+	True	True
NC_001136.10	YDR419W	NM_001180727.3	1303143	1305102	30	1899	30	+	True	True
NC_001136.10	YDR420W	NM_001180728.1	1306236	1311705	30	5409	30	+	True	True
NC_001136.10	YDR421W	NM_001180729.1	1312009	1314922	30	2853	30	+	True	True
NC_001136.10	YDR422C	NM_001180730.3	1315295	1317803	30	2448	30	-	True	True
NC_001136.10	YDR423C	NM_001180731.3	1318015	1319305	30	1230	30	-	True	True
NC_001136.10	YDR424C	NM_001180732.1	1319356	1319871	30	279	30	-	True	True
NC_001136.10	YDR425W	NM_001180733.1	1320033	1321971	30	1878	30	+	True	True
NC_001136.10	YDR427W	NM_001180735.3	1322174	1323416	30	1182	30	+	True	True
NC_001136.10	YDR428C	NM_001180736.3	1323423	1324269	30	786	30	-	True	True
NC_001136.10	YDR429C	NM_001180737.1	1324446	1325331	30	825	30	-	True	True
NC_001136.10	YDR430C	NM_001180738.1	1325470	1328500	30	2970	30	-	True	True
NC_001136.10	YDR432W	NM_001180740.3	1328752	1330057	30	1245	30	+	True	True
NC_001136.10	YDR434W	NM_001180742.3	1331206	1332871	30	1605	30	+	True	True
NC_001136.10	YDR435C	NM_001180743.1	1332952	1333999	30	987	30	-	True	True
NC_001136.10	YDR436W	NM_001180744.1	1334790	1336983	30	2133	30	+	True	True
NC_001136.10	YDR437W	NM_001180745.3	1337321	1337804	30	423	30	+	True	True
NC_001136.10	YDR438W	NM_001180746.3	1338243	1339416	30	1113	30	+	True	True
NC_001136.10	YDR439W	NM_001180747.1	1339645	1340749	30	1044	30	+	True	True
NC_001136.10	YDR440W	NM_001180748.1	1342462	1344271	30	1749	30	+	True	True
NC_001136.10	YDR441C	NM_001180749.3	1344486	1345092	30	546	30	-	True	True
NC_001136.10	YDR443C	NM_001180751.3	1345645	1349968	30	4263	30	-	True	True
NC_001136.10	YDR444W	NM_001180752.1	1350259	1352383	30	2064	30	+	True	True
NC_001136.10	YDR446W	NM_001180754.1	1353694	1354663	30	909	30	+	True	True
NC_001136.10	YDR447C	NM_001180755.3	1354798	1355583	30	411	30	-	True	True
NC_001136.10	YDR448W	NM_001180756.3	1356034	1357399	30	1305	30	+	True	True
NC_001136.10	YDR449C	NM_001180757.1	1357549	1358932	30	1323	30	-	True	True
NC_001136.10	YDR450W	NM_001180758.1	1359892	1360828	30	441	30	+	True	True
NC_001136.10	YDR451C	NM_001180759.3	1361089	1362211	30	1062	30	-	True	True
NC_001136.10	YDR452W	NM_001180760.3	1362847	1364932	30	2025	30	+	True	True
NC_001136.10	YDR453C	NM_001180761.1	1365041	1365692	30	591	30	-	True	True
NC_001136.10	YDR454C	NM_001180762.1	1366233	1366857	30	564	30	-	True	True
NC_001136.10	YDR456W	NM_001180764.3	1367454	1369416	30	1902	30	+	True	True
NC_001136.10	YDR457W	NM_001180765.3	1369759	1379626	30	9807	30	+	True	True
NC_001136.10	YDR458C	NM_001180766.1	1380024	1382076	30	1992	30	-	True	True
NC_001136.10	YDR459C	NM_001180767.1	1382288	1383473	30	1125	30	-	True	True
NC_001136.10	YDR460W	NM_001180768.3	1383780	1384806	30	966	30	+	True	True
NC_001136.10	YDR461W	NM_001180769.3	1385145	1385316	30	111	30	+	True	True
NC_001136.10	YDR461C-A	NM_001184679.1	1385493	1385796	30	243	30	-	True	True
NC_001136.10	YDR462W	NM_001180770.1	1386042	1386546	30	444	30	+	True	True
NC_001136.10	YDR463W	NM_001180771.3	1386785	1388405	30	1560	30	+	True	True
NC_001136.10	YDR464W	NM_001180772.3	1388841	1393209	30	4308	30	+	True	True
NC_001136.10	YDR465C	NM_001180773.1	1393305	1394604	30	1239	30	-	True	True
NC_001136.10	YDR466W	NM_001180774.1	1395090	1397847	30	2697	30	+	True	True
NC_001136.10	YDR468C	NM_001180776.3	1397995	1398730	30	675	30	-	True	True
NC_001136.10	YDR469W	NM_001180777.3	1398984	1399572	30	528	30	+	True	True
NC_001136.10	YDR470C	NM_001180778.2	1399675	1401244	30	1509	30	-	True	True
NC_001136.10	YDR471W	NM_001180779.1	1401739	1402594	30	411	30	+	True	True
NC_001136.10	YDR472W	NM_001180780.3	1403291	1404203	30	852	30	+	True	True
NC_001136.10	YDR473C	NM_001180781.3	1404414	1405884	30	1410	30	-	True	True
NC_001136.10	YDR475C	NM_001180783.1	1407433	1410124	30	2631	30	-	True	True
NC_001136.10	YDR476C	NM_001180784.1	1410422	1411157	30	675	30	-	True	True
NC_001136.10	YDR477W	NM_001180785.3	1412342	1414304	30	1902	30	+	True	True
NC_001136.10	YDR478W	NM_001180786.3	1414544	1415201	30	597	30	+	True	True
NC_001136.10	YDR479C	NM_001180787.1	1415179	1416904	30	1665	30	-	True	True
NC_001136.10	YDR480W	NM_001180788.1	1417368	1418400	30	972	30	+	True	True
NC_001136.10	YDR481C	NM_001180789.3	1418519	1420280	30	1701	30	-	True	True
NC_001136.10	YDR482C	NM_001180790.3	1420400	1420868	30	408	30	-	True	True
NC_001136.10	YDR483W	NM_001180791.1	1421126	1422515	30	1329	30	+	True	True
NC_001136.10	YDR484W	NM_001180792.1	1422732	1424718	30	1926	30	+	True	True
NC_001136.10	YDR485C	NM_001180793.3	1424789	1427237	30	2388	30	-	True	True
NC_001136.10	YDR486C	NM_001180794.3	1427400	1428150	30	690	30	-	True	True
NC_001136.10	YDR487C	NM_001180795.1	1428323	1429010	30	627	30	-	True	True
NC_001136.10	YDR488C	NM_001180796.1	1429157	1430819	30	1602	30	-	True	True
NC_001136.10	YDR489W	NM_001180797.3	1430981	1431926	30	885	30	+	True	True
NC_001136.10	YDR490C	NM_001180798.3	1431937	1434298	30	2301	30	-	True	True
NC_001136.10	YDR492W	NM_001180800.1	1434893	1435904	30	951	30	+	True	True
NC_001136.10	YDR493W	NM_001180801.1	1436186	1436618	30	372	30	+	True	True
NC_001136.10	YDR494W	NM_001180802.3	1436899	1438045	30	1086	30	+	True	True
NC_001136.10	YDR495C	NM_001180803.3	1438084	1441180	30	3036	30	-	True	True
NC_001136.10	YDR496C	NM_001180804.1	1441402	1443433	30	1971	30	-	True	True
NC_001136.10	YDR497C	NM_001180805.1	1443682	1445497	30	1755	30	-	True	True
NC_001136.10	YDR498C	NM_001180806.3	1445812	1447024	30	1152	30	-	True	True
NC_001136.10	YDR499W	NM_001180807.3	1447799	1450103	30	2244	30	+	True	True
NC_001136.10	YDR500C	NM_001180808.1	1450167	1450883	30	267	30	-	True	True
NC_001136.10	YDR501W	NM_001180809.1	1451322	1452948	30	1566	30	+	True	True
NC_001136.10	YDR502C	NM_001180810.3	1453279	1454494	30	1155	30	-	True	True
NC_001136.10	YDR503C	NM_001180811.3	1455011	1455896	30	825	30	-	True	True
NC_001136.10	YDR504C	NM_001180812.1	1456280	1456724	30	384	30	-	True	True
NC_001136.10	YDR505C	NM_001180813.2	1456664	1459250	30	2526	30	-	True	True
NC_001136.10	YDR506C	NM_001180814.3	1459697	1461584	30	1827	30	-	True	True
NC_001136.10	YDR507C	NM_001180815.3	1462327	1465816	30	3429	30	-	True	True
NC_001136.10	YDR508C	NM_001180816.1	1466422	1468474	30	1992	30	-	True	True
NC_001136.10	YDR510W	NM_001180818.1	1469369	1469735	30	306	30	+	True	True
NC_001136.10	YDR511W	NM_001180819.3	1469986	1470448	30	402	30	+	True	True
NC_001136.10	YDR512C	NM_001180820.3	1470469	1471093	30	564	30	-	True	True
NC_001136.10	YDR513W	NM_001180821.1	1470986	1471478	30	432	30	+	True	True
NC_001136.10	YDR514C	NM_001180822.1	1471517	1473029	30	1452	30	-	True	True
NC_001136.10	YDR515W	NM_001180823.3	1473398	1474802	30	1344	30	+	True	True
NC_001136.10	YDR516C	NM_001180824.3	1474943	1476506	30	1503	30	-	True	True
NC_001136.10	YDR517W	NM_001180825.1	1477208	1478387	30	1119	30	+	True	True
NC_001136.10	YDR518W	NM_001180826.1	1478577	1480191	30	1554	30	+	True	True
NC_001136.10	YDR519W	NM_001180827.3	1480394	1480862	30	408	30	+	True	True
NC_001136.10	YDR520C	NM_001180828.3	1481054	1483433	30	2319	30	-	True	True
NC_001136.10	YDR522C	NM_001180830.1	1483764	1485333	30	1509	30	-	True	True
NC_001136.10	YDR523C	NM_001180831.1	1485535	1487068	30	1473	30	-	True	True
NC_001136.10	YDR524C	NM_001180832.3	1487511	1489020	30	1449	30	-	True	True
NC_001136.10	YDR524W-C	NM_001184632.3	1489372	1489522	30	90	30	+	True	True
NC_001136.10	YDR524C-B	NM_001184631.1	1489567	1489828	30	201	30	-	True	True
NC_001136.10	YDR525W	NM_001348819.1	1489874	1490264	30	330	30	+	True	True
NC_001136.10	YDR525W-A	NM_001184329.1	1490565	1490865	30	240	30	+	True	True
NC_001136.10	YDR527W	NM_001180835.4	1491063	1492443	30	1320	30	+	True	True
NC_001136.10	YDR528W	NM_001180836.3	1494555	1495887	30	1272	30	+	True	True
NC_001136.10	YDR529C	NM_001180837.1	1496134	1496578	30	384	30	-	True	True
NC_001136.10	YDR530C	NM_001180838.1	1496760	1497798	30	978	30	-	True	True
NC_001136.10	YDR531W	NM_001180839.3	1498201	1499365	30	1104	30	+	True	True
NC_001136.10	YDR532C	NM_001180840.3	1499365	1500583	30	1158	30	-	True	True
NC_001136.10	YDR533C	NM_001180841.1	1501416	1502190	30	714	30	-	True	True
NC_001136.10	YDR534C	NM_001180842.1	1503283	1504930	30	1587	30	-	True	True
NC_001136.10	YDR536W	NM_001180844.3	1507974	1509744	30	1710	30	+	True	True
NC_001136.10	YDR538W	NM_001180846.3	1510871	1511660	30	729	30	+	True	True
NC_001136.10	YDR539W	NM_001180847.1	1512063	1513635	30	1512	30	+	True	True
NC_001136.10	YDR540C	NM_001180848.1	1517105	1517705	30	540	30	-	True	True
NC_001136.10	YDR541C	NM_001180849.4	1519633	1520728	30	1035	30	-	True	True
NC_001136.10	YDR542W	NM_001180850.3	1523218	1523641	30	363	30	+	True	True
NC_001136.10	YDR545W	NM_001180853.1	1526290	1531741	30	5391	30	+	True	True
NC_001137.3	YEL077C	NM_001184302.1	233	4127	30	3834	30	-	True	True
NC_001137.3	YEL076C-A	NM_001180855.1	4154	5144	30	651	30	-	True	True
NC_001137.3	YEL076C	NM_001178891.1	4433	5144	30	651	30	-	True	True
NC_001137.3	YEL075C	NM_001178890.1	5314	5743	30	369	30	-	True	True
NC_001137.3	YEL073C	NM_001178888.1	7199	7583	30	324	30	-	True	True
NC_001137.3	YEL072W	NM_001178887.1	13689	14445	30	696	30	+	True	True
NC_001137.3	YEL071W	NM_001178886.1	16324	17875	30	1491	30	+	True	True
NC_001137.3	YEL070W	NM_001178885.1	19558	21127	30	1509	30	+	True	True
NC_001137.3	YEL069C	NM_001178884.1	21506	23261	30	1695	30	-	True	True
NC_001137.3	YEL068C	NM_001270743.1	25615	26008	30	333	30	-	True	True
NC_001137.3	YEL067C	NM_001178882.1	26158	26806	30	588	30	-	True	True
NC_001137.3	YEL066W	NM_001178881.2	26690	27236	30	486	30	+	True	True
NC_001137.3	YEL065W	NM_001178880.3	27626	29573	30	1887	30	+	True	True
NC_001137.3	YEL064C	NM_001178879.1	29766	31269	30	1443	30	-	True	True
NC_001137.3	YEL063C	NM_001178878.1	31663	33496	30	1773	30	-	True	True
NC_001137.3	YEL062W	NM_001178877.3	34376	36284	30	1848	30	+	True	True
NC_001137.3	YEL061C	NM_001178876.1	36504	39567	30	3003	30	-	True	True
NC_001137.3	YEL060C	NM_001178875.1	40015	41983	30	1908	30	-	True	True
NC_001137.3	YEL059C-A	NM_001180854.3	42369	42654	30	225	30	-	True	True
NC_001137.3	YEL059W	NM_001395033.1	42621	42990	30	309	30	+	True	True
NC_001137.3	YEL058W	NM_001178873.1	43221	44955	30	1674	30	+	True	True
NC_001137.3	YEL057C	NM_001178872.1	44989	45751	30	702	30	-	True	True
NC_001137.3	YEL056W	NM_001178871.3	47137	48403	30	1206	30	+	True	True
NC_001137.3	YEL055C	NM_001178870.1	48440	51569	30	3069	30	-	True	True
NC_001137.3	YEL054C	NM_001178869.1	52690	53248	30	498	30	-	True	True
NC_001137.3	YEL053C	NM_001178868.3	53870	56132	30	2202	30	-	True	True
NC_001137.3	YEL052W	NM_001178867.1	56540	58130	30	1530	30	+	True	True
NC_001137.3	YEL051W	NM_001178866.1	58347	59178	30	771	30	+	True	True
