transcript_id	m_GR_in_01d_1.isoforms.results	m_GR_in_01d_2.isoforms.results	m_GR_in_01d_3.isoforms.results	m_GR_un_01d_1.isoforms.results	m_GR_un_01d_2.isoforms.results	m_GR_un_01d_3.isoforms.results	m_GR_in_02d_1.isoforms.results	m_GR_in_02d_2.isoforms.results	m_GR_in_02d_3.isoforms.results	m_GR_un_02d_1.isoforms.results	m_GR_un_02d_2.isoforms.results	m_GR_un_02d_3.isoforms.results	m_GR_in_04d_1.isoforms.results	m_GR_in_04d_2.isoforms.results	m_GR_in_04d_3.isoforms.results	m_GR_un_04d_1.isoforms.results	m_GR_un_04d_2.isoforms.results	m_GR_un_04d_3.isoforms.results	m_GR_in_07d_1.isoforms.results	m_GR_in_07d_2.isoforms.results	m_GR_in_07d_3.isoforms.results	m_GR_un_07d_1.isoforms.results	m_GR_un_07d_2.isoforms.results	m_GR_un_07d_3.isoforms.results	m_GR_in_10d_1.isoforms.results	m_GR_in_10d_2.isoforms.results	m_GR_in_10d_3.isoforms.results	m_GR_un_10d_1.isoforms.results	m_GR_un_10d_2.isoforms.results	m_GR_un_10d_3.isoforms.results	m_GR_in_15d_1.isoforms.results	m_GR_in_15d_2.isoforms.results	m_GR_in_15d_3.isoforms.results	m_GR_un_15d_1.isoforms.results	m_GR_un_15d_2.isoforms.results	m_GR_un_15d_3.isoforms.results	m_GR_in_20d_1.isoforms.results	m_GR_in_20d_2.isoforms.results	m_GR_in_20d_3.isoforms.results	m_GR_un_20d_1.isoforms.results	m_GR_un_20d_2.isoforms.results	m_GR_un_20d_3.isoforms.results	m_GR_in_25d_1.isoforms.results	m_GR_in_25d_2.isoforms.results	m_GR_in_25d_3.isoforms.results	m_GR_un_25d_1.isoforms.results	m_GR_un_25d_2.isoforms.results	m_GR_un_25d_3.isoforms.results
NM_001255679.2	670.62	932.29	932.63	836.1	600.86	774	297	424	658.61	494.63	721.6	651.95	257.24	196.93	436	275	260	296	511	555	264	735	491	493	205	197.63	579.67	460.82	738.56	579	40	15	25	1046	1618	1630.88	78	57.73	71	4085.62	2832	2585.25	12	9	7	947	890.32	852
NM_001255689.2	1	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	69	64	229.94	0	0	0	6	2	3	1	1	5	2.64	4	5	5	9	7	0	0	0	0	1	1
NM_001255769.2	191.72	266.73	222.51	229.54	130.13	156.73	82	88.04	160	119.64	180.59	150.25	108	96.73	162.68	110.73	83.56	114	81	67	18.86	99	151	97.58	106	103	303.46	92.58	119	118	197	130.57	144	161	267.76	230	54.88	45.63	96.47	181.79	170.54	158.15	192.15	191	250.82	132.68	120	128.14
NM_001255778.3	65	79	122	92	51	104	54	58	110	84	136	110	57	35	119	58	79	97	40	41	18	115	66	68	11	19	43	45	76	69	18	3	6	12	21.34	39	1	8	2	11	19	1	6	6	5	33	25	29
NM_001255797.2	79.89	176.67	253.39	159.56	183.67	354.92	194.68	381.55	574.63	274.77	412.52	362.11	782.81	583.47	1283.5	654.69	706.24	812.21	562.52	540.62	227.28	937.05	848	901.57	109.38	97.66	325.27	1227.59	1773.55	1544.54	77	51	75.17	134.53	216	172.36	5	8.35	9.09	134.96	140.28	82.26	1	1	3	918.98	936.41	969.8
NM_001255804.2	40.08	61	53.83	58.46	25.62	46.96	18	26.49	36	25.28	63.13	37.42	38	18.59	25.16	26.45	41	49	34	25	12.57	45	37	43.05	85.07	67	212.57	39.5	46	53	83.42	47	80	22.35	53.49	57	39.68	31.62	52.02	42.94	61.06	27.48	34.48	42	43.96	36.62	28	21
NM_001255816.2	52	42	53	33	47	30	10	13	16	1	19	14	16	12	30	16	25	18	39	49	21	21	24	24	24	33	90	10	2	2	6	1	0	6	23	0	7	3	10	12	20	5	1	2	1	17	8	8
NM_001255825.2	72	81.63	97	69.42	66.73	72.41	16	25	41	35	50	43	36.28	39.68	26.11	26.69	41	23	19	18.68	5	51	36	35	21	38	87.83	27	39	37.81	52	38	96	65	91	63	21.62	30	32.55	55.47	53	60.43	42	25	62	31.74	25.68	26
NM_001255829.2	39.15	43.68	43.41	42.11	27.69	32.38	12	14	17.45	7	13.71	17	20.68	15.02	17.66	22.4	15.02	12	17	11.25	8	24	13	17.45	20.36	35.41	99.41	16	25.47	21.13	5	8	12	27	26	25	11	6.3	9.29	15	20.3	21.94	8	12	6.28	17.25	29	8
NM_001255853.2	103.48	194	170	101.46	85	122	52	69	130	52.84	87.75	79	66.65	52.55	126.52	108	81	101.66	73	61	27	116	74	72	118.59	165	416.78	73.71	133.77	141	78	41	47	54	66.83	59	60.71	56.44	75	75.69	97	83	73.86	61	67	62	64	71
NM_001255854.2	4.66	11	11	16	8	23	1	1	1.18	2	9	14	11	6	13	4	10	8	14	11	4	21	13	14	11	13	24	14	25	9	12	5	11	12	22	28	4	2	6	8	7	6.24	16	18	23	10	12	11
NM_001255866.2	155.36	255.77	263	199.72	153.47	217.47	77	98	170.09	90.4	178.16	141	158	122.58	239.99	146.54	164.87	173.81	205	160.53	67	251	189	214	59	102.39	297.41	151	203.84	219.33	96	93	162	203.28	342.18	266	44.99	31.85	61.45	198.95	188	137.33	74.87	44.02	65.32	208.24	220.67	183.59
NM_001255867.2	12	31	30	15	14	28	12	16	29	18	29	21	7	5	22	14	14	14	10	1	1	12	12	7	4	1	7	1	1	1	0	0	0	18	15	23	0	0	0	34	34	17	0	0	0	15	15	7
NM_001255885.2	5	6	6	2	0	4	0	1	1	1	2	0	2	1	3	0	3	0	3	0	1	0	2	2	4	3	15	3	3	2	8	6	5	0	2	3	0	1	2	4	3	0	6	6	6	3	1	5
NM_001255890.2	180	282	290	164	115	207	87	108	174	118	179	162	112	66.98	188	119	87	109	77	78	30	111	85	86	55	66	199	80	128	124	24	18	28	88	89	114	13	23	51	116	86	81	59	40	74	85	86	104
NM_001255894.2	43.6	77.53	65.28	74.7	38.74	48	23	33.3	46	30	43.28	31	39.74	33.65	44	24.26	28	20	49.33	44.37	20.75	54.23	61	54	34	48	106	42.4	39	46	91	99	179	112	245.55	183.31	44.39	24.76	33.12	52.24	81.55	81.13	21	17	72.44	38.58	30.72	40.26
NM_001255909.3	70	132	95	90	58	59	23	42	55	46	66	56	48	16	45	30	25	41	44	19	12	67	58	63	33	44	126	61	115	113	73	22	66	32	68	40	49	51	90	70	73	42	84	78	93	40	40	38
NM_001255935.2	296.82	395.81	404.07	315.92	236.11	348.8	84.55	137.24	181.18	83.69	197.62	162.58	195.19	164.02	286.87	157.8	166.29	182.47	199.17	181.11	84.86	292.67	195.68	202.13	170.38	251.12	617.36	185.57	222.49	217.55	238.59	148	226	225.83	287.55	317.47	109.45	92.85	160.82	227.99	264.01	203.7	163.05	162.89	160.54	211.62	179.14	196.79
NM_001255944.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001255949.1	3084.2	5389.84	5702.57	4640.95	3341.86	3947.09	2369	3517.13	5974.09	4236.53	5971.06	4920.51	2833.68	1738.33	4102.74	2888.74	3321	3624.15	1816	1920.79	749	2472.57	2004	2118.59	1860.66	2321	6604.89	1248.69	1825	1972.22	1305	541	965	1842	2922	2935	434.8	612	790.35	3462.44	3475.93	2578.23	889.61	724	1044.15	2160	1841.2	2169.27
NM_001256884.1	43	52	47	14	7	5	14	23	21	6	8	18	30	15.54	54	4	3	11	221	177.27	115.5	5	1	4	1953.72	2314.12	7268.13	4.29	5.17	9	567.42	351.25	615	2	2	0	461.6	400.28	602.61	5	9	2	61	69	67.93	15	16	9.51
NM_001257274.1	2	4	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
NM_001261431.1	13	24	11	17	6	11	0	4	8	11	8	20	7	5	12	8	9	4	0	2	3	6	0	4	5	4	21	4	4	7	0	2	0	4	19	7	0	1	4	15	8	7	0	1	2	3	2	4
NM_001267069.1	16	21	26	23.4	11	13	17	6	17	15	9	13	7	4	16	16	7	10	0	3	0	3	4	0	7	11	16	1	4	3	3	0	2	5	9	3	1.11	2	3.06	12	9	23.3	0	0	0	7	1	1
NM_001280572.1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3
NM_001281957.1	84	126	163	148	92.25	155	58	94.7	108	79	89	95	170	143.63	249	159.72	131	172.73	150	131	53	214	142	189	49	46	132	219.94	316	327	39	24	27	53	114	92	17	11	18.52	118	72	71	60	51	46	139	139	144
NM_001287448.1	42.11	73.25	90.31	36.37	40.16	76.3	32	44.05	87.03	67.15	89.11	69.28	86.37	70.64	117.5	64.34	64.17	72.05	60	66.39	40	77.04	73.04	106.35	4.06	4	11	44.21	74	94.21	10.02	0	6	97	111	102	11.05	1.04	10.18	89.21	56.07	46.38	1	0	0	47.13	33.1	59.08
NM_001288593.1	44	71	67	43	24	57	11	19	36	23	29	21	28	25	46	33	37	33	35	33	27	62	45	43	19	28	100	10	23	27	302	201	336	58	96	89	169	270	227	135	95	86	115	120	141	16	34	30
NM_001289195.1	3.13	2	4	6	6	6	1	0	9	4	6	0	14	6	10	1	1	3	2	6	3	8	2	5	7	6	12	3	5	6	10	2	1	3	17	14	3	1	0	12	3	14	1	6	6	10	10	24
NM_001289212.2	581.07	822.18	836.81	768.75	544.15	643.46	228.3	330.21	400.75	278.29	350.89	374.94	361.71	342.54	465.11	393.19	394.28	470.88	258.45	283.48	135	376.6	369.84	359.58	613.08	718.71	1699.84	289.64	407.94	339.03	392.91	354	511.73	310.85	496.42	384	210.79	144.13	264.99	227.05	308.28	224.89	168.49	152.63	298.6	184.04	176.82	201.51
NM_001289223.2	474.72	777.37	789.43	662.59	466.15	602.01	126.77	198.26	245.39	144.06	255.58	273.27	265.45	213.24	290.52	270.28	234	264.25	281	283.22	118	387.36	371	331	461.43	574.64	1532.26	138.92	236	186.44	424.24	309	442	246	411.77	384.69	158.59	157.67	223.19	152.44	312.98	201.66	138.91	98.46	269.43	107.87	122.46	148
NM_001289226.2	16	17	18	10	15	29	6	9	23	4	7	5	15	2	14	6	20	10	9	14	2	11	6	18	13	23	65	25	25	32	55	91	91	6	9	17	12	12	21	3	4	8	40	25	39	9	1	10
NM_001289230.2	294.05	398.13	455.42	436.39	271.13	349.77	124.52	171	261.99	161	224.48	229	199.32	152.22	318.94	193.97	173.45	207.83	124	182.87	53	208	160.42	175.45	239.89	274.42	858.9	96.77	136.76	132.37	178	78	148	101	119	145.43	111.26	142.33	213.63	162.58	178	131.54	143	112.65	188	108.47	130.68	130.82
NM_001289237.2	26.6	23.71	35.46	45.24	30.57	29	16	23	20	14.55	25.5	16	24.73	22.99	52.78	17.54	30	17	19	39	15	29.67	30	15	43	34	107	22	41	22	74	26	47	11	31	28	13.11	13.41	20	18	16	20.58	59	47.67	40.48	31	23.59	12
NM_001289256.1	575.66	942.66	851.28	825.65	507	686	274	365.6	536	354	537	474	512	401.16	749	519.26	562.62	602	336	368	147	485	377	365	688.3	802.32	2267.11	325.63	422	394	580	298	503	420	674	574	210	269	346.69	343.58	425	294.64	395.66	369	560.67	361.69	346	329
NM_001289265.2	128	221	189	233.4	166	183	56	69	105	60	85.32	88	86	91.37	103	78.34	78	97	108	119	33	134	101	100	207	177	426	72	64	52	419	448	700	227	289	252	75.24	57	107	55	102	55	175	142	286	73	79	88
NM_001289277.2	105	171.45	214	153	105.47	150	58	77	123	86.55	106.96	91	70	71.3	127.53	45	71	95	42	44	28	98.53	91	64	62	76	232.6	44	61	45	90	41	57	60	112	96	39.46	37	53.88	50	88	57.88	42	29	46	43.45	48	52
NM_001289280.2	2520	3792	4055	2603	1866	3012	718	994	1551	1057	1606	1282	1232	963	2167	1179	1322	1405	1487	1376	537	1698	1577	1431	4532	5375	16705	901	1396	1207	10672	6593	11048	700	1130	1008	2849	3365	4984	1006	1328	831	6193	5856	5989	985	995	994
NM_001289295.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001289321.1	34	70	67	63.89	58	43	11	20	16	17	16	20	37	32.04	32	22	29	23	14	23	11	15	17	25	19	21	87	7	12	7	11	15	28	25	24	35	8	6	12	10	15	14	43	31	25	13	11	21
NM_001289332.1	3	1	4	3	0	3	2	0	0	2	0	2	3	3	0	0	1	2	1	0	0	2	3	2	1	0	0	2	0	6	0	0	2	0	6	2	0	0	0	3	1	3	0	0	0	0	0	2
NM_001289339.2	12	21	21	17	15	15	9	13	14	13	11	9	5	6	16	9	9	4	5	4	4	10	14	7	24.87	24	57	8	5	8	19	19	36	0	10	6	6	1	5	6	4	6	21	14	35	7	4	7
NM_001289354.1	387.48	672.15	546.65	546.35	392.43	494.65	152	209	319	193	310.24	235	299.7	305.41	407.79	261.32	296.68	352.74	234	231.13	94	314.76	276	209	427.64	448	1261.36	139.63	226	208.71	179	138	215	196	258.09	248	91.62	107	158.24	148.71	197.69	167.34	72	61	150	103	124.41	106
NM_001289360.2	52	48.2	37	33.8	45.25	36.26	10	17.24	21	17	32	27	29.48	20.17	31.27	15.41	15.2	23	23	20.17	7	40	30	37	27.23	31	78	27.21	30	25	42	58	59	29.25	56.01	67	17.53	23.28	27.46	20	37.19	34.18	23	23.22	45.21	26	17.14	20
NM_001289377.1	39	94	73	71	61.08	66	14	17	37	16	47	34	26	39.44	46.47	24	35	47	17	30.4	15	43	23	35.37	50	53.45	121	35.46	45.65	36	38	31	31	55	113	70	18	40	27	54	58	33	45	24	60	33	37	27
NM_001292014.1	89	128	97	103	50.75	46	32	54	53	63	84	85	41	27	46	28.1	33	26	21	17	10	32	26	31	12	12	33	18	22	38	9	4	7	28	60	26	4	5	4	47	25	35	34	20	29	25	14.61	24
NM_001317345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317409.2	10.72	15.9	23.24	8.37	17.14	24.32	1.74	3.59	9.19	8.51	11.07	17.26	3.89	8	17.52	11.15	12.28	12.85	1	0	2	7.75	3	8.74	0	0	0	2	3	1.54	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	1
NM_001317418.2	170.62	212	200	248.74	164.16	140.57	75	127	168.66	134	200	134	186	160.05	278	139.57	145.59	155	140	138	67	274	203	210	90.35	82	263	178	233	213	193	72.07	191	418	703.6	584	27	30	69.14	254.57	231	201.59	117	103	148	281	220	260.63
NM_001317419.2	29	43	47	22	15	23	14	31	54	20	31	42	50	26	42	25	34	22	20	22	6	33	16	26	43	36	90	6	15	20	64	51	61	14	47	32	26	22.76	49	33	30	25	69	57	105	27	18	19
NM_001317425.2	5	7	5	8	3	4	0	0	2	1	7	1	1	0	2	1	1	1	3	2	2	1	1	2	1	1	7	0	0	0	1	0	0	9	4	10	0	0	0	1	3	1	2	1	2	0	0	3
NM_001317428.1	274	422	360	333.53	223.77	274	137	163	323	247	407	358	221	146.52	263	168	241	230.86	274	207	111	250	184	217	381.88	482	1309	62	102	96	409	190	338	335	391	483	243	250.89	328.85	387	418	316	471	339	790	200	231.96	247
NM_001317448.2	0	0	1	1	0	3	0	1	3	1	2	0	0	0	1	1	1	1	1	0	0	0	1	2	0	0	2	0	1	1	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0
NM_001317452.2	0	0	2	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	2	0	0	0	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NM_001317454.2	237	384.41	422	374	307	278	143	205	283	196	314	250	327	231.26	436	325	376	482	440	408	168	512	432	462	156	194	463	183	247	318	326	136	275	369	493	553	99	143	150	442	413	312	249	195	267	374	316	279
NM_001317455.2	1374	2607	3052	1942	2001	2361	1241	1831	2846	1646	2325	2214	3379	2768	4523	2879	2984	3563	2409	2484	1000	3299	2837	3118	2125	1951	5032	724	953	969	1498	1009	1475	1263	2190	1768	290	255	447	759	1039	845	426	335	454	1837	1676	1865
NM_001317467.2	2	0	0	0	1	4	0	0	4	0	1	0	0	1	0	0	2	1	0	0	0	1	2	0	1	0	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NM_001317473.2	12	31	32.65	19	18	41	20	34	43	21	33	31	37	16	42	20	24	26	13	15	5	41	13	26	4	10	19	6	9	17	36	10	27	1	5	5	2.49	1	2	1	2	0	60	43.98	56	8	5	3
NM_001317482.1	184.98	312	322	272	207	220	107	145	245	161	243	195	175	146	268	169	183	214	187	149	83	197	167	198	243	268	777	119	169	145	429	283	403	281	459	374	159	172	203	199	239	199	233	230	323	209	187	177
NM_001317498.2	8	22.49	31.95	10.88	23.21	25.45	14	14.05	40.94	20	20.29	15	25.11	12.11	31.63	18.14	22.73	34.92	19	24	10	21	18.84	31	6	5	21	26.87	28.32	50.55	0	2	3	15	47	30	3	0	0	124.57	108	107.15	0	0	0	46.63	43.14	41.76
NM_001317502.1	11.96	28.38	32.03	20.57	13.32	33.38	8	20.47	34.92	30.69	27	20	43.6	27	79.57	24.66	17	31.49	71.88	53	19.62	57.59	35.05	63.7	95.47	132.35	295.04	292.07	425.64	388.97	52.14	25.2	43	10.5	4.23	7	22.87	19.77	31.55	35.64	61.33	64.09	4.24	3.25	4.07	57.32	55.11	59.05
NM_001317510.2	82	213	280	192.67	198	227	204	300	534	295	414.65	352	345.4	238.77	472	229.79	266	367.43	241	254	132	257	255.8	208	223	276	743.61	267.8	363	492	366.86	118	176	162	251	255	85	86.55	133.84	165	171	139.49	125	112	176	334.66	332.4	305.62
NM_001317524.2	77.82	140.66	181	117.32	99.73	96.85	125	137	276	149	266.91	204	140	121.43	228.94	130.87	160	185	55	62	19	104.91	87	85	211	227.73	565	152.97	247	252.96	336	108	137	37	67	78	89	96	101	133.81	81.78	113	153	149	214	105	85.88	89
NM_001317528.1	25	22	33	31	23	19	4	7	17	10	17	19	4	4	16	12	12	19	13	13	4	23	21	24	87	120	312	1	3	0	142	69	90	9	7	14	83	71	121	11	18	8	92	85	88	4	6	7
NM_001317539.2	2256	3455	3410	2911	2087	2222	1298	1797	2574	1513	2248	1884	2260	2081	3490	2150	2250	2312	1148	1259	506	2001	1539	1673	556	610	1756	1049	1207	1102	227	100	249	1057	1785	1715	160	117	228	1145	1295	1052	72	62	89	2115	1863	1884
NM_001317549.1	7	9	13	9	6	15	6	7	7	4	2	2	16	11	18	3	4	7	11	6	3	6	7	6	11	39	55	2.09	4	1	461	301	448	25	41	43	35	32	65	42	43	41	159	159	243	18	23	19
NM_001317550.2	106	204.58	173.06	132	99.11	121.38	23	47	62	50	77.21	62	76.75	87.88	89.17	69	83	86.62	83	65	23	78	72.54	84	68.54	56	178	26	22.78	29.55	58	52	82	122	214	141	6	14	20.52	43	41	49.64	15	18	26	27	44	45
NM_001317552.1	101	199	175.52	192.18	130.6	140.1	62	100	128	127	150	118	162	100.74	193	109.11	105.55	152.27	119	131.53	46	172	127	144	80.54	103	247.99	55.38	35	43	138	86	129	198	362	296.56	82	65.19	68.51	160	181.94	158.02	111	96	157	194	153	155
NM_001317553.2	1135.56	1975.08	2349.53	1603.55	1302	1535	1182.54	1554	2690	1710	2288.53	2087	1729.8	997.89	2231.08	1561.45	1747.13	1929	1436.55	1399	478.53	1560.1	1371	1471	2697.86	2943.92	7770.26	832.16	1232.53	1393	4643.69	2288	3432	1203	1859	1875.48	1489.52	1704.68	1693.29	1467.51	1410.82	952.95	2913.72	2410.42	3985.13	1530.52	1352.04	1532.52
NM_001317559.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	379	382	1071	0	0	0	1281	1114	1305	0	0	1	576	638	737	3	0	0	660	505	999	0	0	0
NM_001317580.2	115	137	157	171.71	93	106.85	52	84	134	121	149	145	43	30.45	54	47	56	54	38	36	18	56	33	48	83	73	215	34	54	44	12	8	7	174	277	265.87	16	12	22	420	418	311	4	7	6	105	81	93
NM_001317582.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317594.1	900.02	1653.68	1749.63	1536.2	1036.08	954.42	1751.42	2084.27	3088.18	2572.14	3658.09	3031.88	2554.22	1822.85	3071.3	1984.56	2380.46	2949.64	3120.58	2813.6	1283.73	3895.52	3371.48	3966.6	685.62	712	1748.26	2432.45	3520.46	4035.89	2411.98	1412	2155.8	6982.49	11478.57	10221.99	421.93	401.74	561.92	5546.04	4507.61	3855.19	809.96	722.9	1191.33	7309.06	6761.69	7194.12
NM_001317602.2	19	33	34	32	25	13	10	11	13	11	10	10	10	11.72	11	5	6	11	6	6	5	4	5	8	7	13	19	3	5	4	5	1	2	51	69	74	4	1	3	45	59	33	7	9	10	5	3	5
NM_001317604.2	55.58	75	58	65	41	37	17	47	31	37	37	41.89	19	16	19.44	11	23.71	19	6	10	2	37	28	31	23	21.6	51	19	29	36	17	3	4	40	42	39	14	9	23	35	50	35.87	6	2	10	15	18	18
NM_001317605.1	35.42	68.17	52	52.99	36.56	42	15	23	42	27	35	34	18	18.52	43.53	19	28	24	21	13	9	14	14	23	53	55	208.73	18	16	19	70	24	44	18	24	34	28.65	32	64.8	29	31	15.29	63	74	88	18	23	22
NM_001317611.2	23	53	37	29	23	35	11	13	19	11	31	24	24	3.09	26	16	17	17	13	15	16	23	17	14	13	32	71	13	27	27	14	10	12	13	17	22	18	24	18	35	32	32	5	9	18	21	11	24
NM_001317616.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317617.2	23	65.64	55	39.47	23	49	7	19	28	20	33	19	24.62	27.12	53	21	28	41	33	14	9	52	58	46	17	13	35	75.95	95	74	9	0	9	27	48	50	6	4	4	29	35	18	4.79	1	3	29	21	21
NM_001317618.2	223.74	320.54	325.9	412.44	234.67	233.15	107.89	193.94	249.33	183.11	282.84	228.44	196.32	124.16	247.64	176.27	179.64	185.57	130	127.9	67.48	178.43	122.46	138.2	78.86	87	226.22	42.39	95.14	67	67.33	34	74	364.52	555	487.51	30.45	21.72	38.32	214.27	290.69	219.02	6	13.21	19.26	114.87	104.47	116.3
NM_001317622.2	95	165	172	83	81	81	128	195	286	220	295	304	223	141	216	134	155	205	105	84	48	178	122	161	25	16	56	620	848	929	66	28	54	112	141	136	7	3	8	76	67	60	5	7	23	25	29	39
NM_001317627.2	35.34	98.39	148.8	50.68	67.29	88.58	28.3	52.12	84.45	26.93	48.67	40.79	266.11	181.61	289.92	386.73	478.26	498.3	693.29	548.08	236.69	977.49	900.02	890.98	42.14	64.35	127.38	1312.32	2062.24	2149.03	50.25	50.3	58.28	45.61	58.14	53.09	7.29	4.89	8.43	26.84	31.43	23.65	0	2.09	5.43	147.48	142.17	165.47
NM_001317629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317630.2	0	3	6	6	4	2	0	0	1.12	0	1	3	9	7.73	15	117	129	121	10	10	5	27	15	24	0	1	3	1	7	1	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0
NM_001317631.2	437	677	715.59	681.65	633.87	859	303	438	687	370	586	538.81	1094.66	707.28	1443	969.82	1056.9	1178	748	628	274	1064	908	989	224	231	667	519.88	807	877	352	132	211	186	294	304	75	57	74.17	152	196	160	142	135	144	113	119	148
NM_001317655.1	0	0	1.5	0	0	0	0.12	1.43	2.95	0	0	4.27	0	1.1	0	0.18	1.56	5.05	8.36	1.3	0	0	4.61	0	0	0	0	7.5	3.68	19.95	11.56	7.41	0.83	0.35	1.08	0.24	0.75	0	0	0	0	0	0	0	0	3.9	3.35	0
NM_001317657.1	96.45	145.3	155.38	137.94	111.76	113.66	47.48	41.1	36.28	33.98	47.74	71.92	71.87	80.76	52	74.37	51.78	78.94	66	69.18	21	104.09	100.53	92.56	79.35	76.84	194.36	71.85	66.93	59.41	113.5	124	203	139	249.09	202.53	61.14	44.68	52.84	54	59.39	54.63	49.73	35.06	73.42	38.49	37.24	31.33
NM_001317666.2	224	439	478	377	401	528	422	633	1159	632	877	779	940	565	1233	680	717	897	464	490	159	633	504	540	326	348	979	907	1235	1579	381	176	231	239	386	399	43	58	93	311	199	170	301	185	320	394	342	414
NM_001317667.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317671.2	232	399	409	341	246	271	147	181	286	199	329	269	165	118	197	141	216	231	94	110	32	114	99	112	150	158	545	28	32	37	82	48	72	60	124	117	78	106	124	193	140	120	213	141	192	85	82	67
NM_001317676.2	170.52	293	210	231.07	118	146	35	43	54	76	82	84	31	30.97	36	37	43	42	11	15	4	60	32	52	3	1	6	58	95	63	1	0	0	30	30	44	0	1	3	47	34	42	0	0	1	15	18	15
NM_001317678.2	771	1214	1431	1390	946	1211	857	1147	1895	1055	1479	1187	1545	1430	2926	1247	1295	1395	1196	1337	382	1621	1138	1225	512	562	1369	1657	2131	2199	1136	880	1370	950	1646	1369	253	292	288	1467	783	845	670	607	710	1939	1572	1510
NM_001317689.2	212.04	339	454.97	430.03	323.57	315.5	343	462.71	693	576.58	955	897.64	402.53	295.7	530.49	238	253.55	277.55	673.97	523.23	261.98	632.5	558.5	626	59	59	191	42.55	60	89	267	137	250	1321	2182.09	2210	72.76	58.56	154.5	918.42	1120	835.64	225	174	254	1612	1405	1559.59
NM_001317694.2	24	28	44	24	15	31	15	11	22	21	17	18	4	13	16	13	11	12	13	8	4	13	14	9	43	29	111	4	6	9	26	13	33	5	36	20	16	17	19	10	23	21	30	11	37	7	20	13
NM_001317705.2	23	40	22	18.23	25	18	4	5	6	8	7	4	3	9	25	7	9	8	12	27	0	13	6	15	161	201	615	12	17	8	746	823	1251	45	92	47	293.12	312.31	385.31	23	23	17	591	510.41	659	15	20.15	12
NM_001317719.1	29.31	46	41	38	33	30.27	5	14	33	14	17	10	21	20.84	28	25.57	29	37	30	23	7	38	15	22	6	5	17	162.9	234	195.26	15	15	22	13	19	22	5.54	1	3	31	16	12	40	47	50	6	29	13
NM_001329089.1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	2	1	1	2	0	0	0	1	0	0	5	2	6	0	0	1	4	3	0	0	0	0	2	3	0
NM_001348659.1	104.21	166.41	170.04	172.76	107.99	101.83	33.49	53.44	63.83	42.43	57.49	49.06	61.36	74.71	133.56	52.47	52.6	84.42	83.47	84.04	22.88	89.6	67.36	56.77	155.89	149.34	458.06	66	102.77	55.7	148.8	78.8	128.58	89.83	144.39	119.76	44.41	42.54	68.33	62.27	69.64	75.72	92.01	86	143.79	84.51	85.43	107.03
